given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
dispensation,gos-sip-y,gos-sipy,1,3,2
brazenly,gos-sip-y,gos-sipy,1,3,2
cuttle,gos-sip-y,gos-sipy,1,3,2
deity,gos-sip-y,gos-sipy,1,3,2
undirected,gos-sip-y,gos-sipy,1,3,2
whistler,gos-sip-y,gos-sipy,1,3,2
avenge,gos-sip-y,gos-sipy,1,3,2
propeller,gos-sip-y,gos-sipy,1,3,2
resourceful,gos-sip-y,gos-sipy,1,3,2
fiscally,gos-sip-y,gos-sipy,1,3,2
accent,gos-sip-y,gos-sipy,1,3,2
artery,gos-sip-y,gos-sipy,1,3,2
larva,gos-sip-y,gos-sipy,1,3,2
peacemaker,gos-sip-y,gos-sipy,1,3,2
proprietorship,gos-sip-y,gos-sipy,1,3,2
exhilarate,gos-sip-y,gos-sipy,1,3,2
wholewheat,gos-sip-y,gos-sipy,1,3,2
path,gos-sip-y,gos-sipy,1,3,2
outburst,gos-sip-y,gos-sipy,1,3,2
mayflower,gos-sip-y,gos-sipy,1,3,2
unimpressed,gos-sip-y,gos-sipy,1,3,2
spinach,gos-sip-y,gos-sipy,1,3,2
ratepayer,gos-sip-y,gos-sipy,1,3,2
licking,gos-sip-y,gos-sipy,1,3,2
forego,gos-sip-y,gos-sipy,1,3,2
handmaiden,gos-sip-y,gos-sipy,1,3,2
perdition,gos-sip-y,gos-sipy,1,3,2
cantilever,gos-sip-y,gos-sipy,1,3,2
optional,gos-sip-y,gos-sipy,1,3,2
cropper,gos-sip-y,gos-sipy,1,3,2
symbiont,gos-sip-y,gos-sipy,1,3,2
literati,gos-sip-y,gos-sipy,1,3,2
manicure,gos-sip-y,gos-sipy,1,3,2
dryness,gos-sip-y,gos-sipy,1,3,2
charlatan,gos-sip-y,gos-sipy,1,3,2
exploratory,gos-sip-y,gos-sipy,1,3,2
curling,gos-sip-y,gos-sipy,1,3,2
flora,gos-sip-y,gos-sipy,1,3,2
tinfoil,gos-sip-y,gos-sipy,1,3,2
clarification,gos-sip-y,gos-sipy,1,3,2
porous,gos-sip-y,gos-sipy,1,3,2
brief,gos-sip-y,gos-sipy,1,3,2
thwart,gos-sip-y,gos-sipy,1,3,2
dealership,gos-sip-y,gos-sipy,1,3,2
numerous,gos-sip-y,gos-sipy,1,3,2
physiotherapist,gos-sip-y,gos-sipy,1,3,2
recalibrate,gos-sip-y,gos-sipy,1,3,2
hound,gos-sip-y,gos-sipy,1,3,2
unfinished,gos-sip-y,gos-sipy,1,3,2
architectural,gos-sip-y,gos-sipy,1,3,2
oracle,gos-sip-y,gos-sipy,1,3,2
underpopulated,gos-sip-y,gos-sipy,1,3,2
interpolation,gos-sip-y,gos-sipy,1,3,2
determinedly,gos-sip-y,gos-sipy,1,3,2
outspoken,gos-sip-y,gos-sipy,1,3,2
output,gos-sip-y,gos-sipy,1,3,2
idiopathic,gos-sip-y,gos-sipy,1,3,2
unedited,gos-sip-y,gos-sipy,1,3,2
terrify,gos-sip-y,gos-sipy,1,3,2
quadruple,gos-sip-y,gos-sipy,1,3,2
scarce,gos-sip-y,gos-sipy,1,3,2
cheeky,gos-sip-y,gos-sipy,1,3,2
undiscovered,gos-sip-y,gos-sipy,1,3,2
panjandrum,gos-sip-y,gos-sipy,1,3,2
unengaged,gos-sip-y,gos-sipy,1,3,2
pope,gos-sip-y,gos-sipy,1,3,2
precipitation,gos-sip-y,gos-sipy,1,3,2
study,gos-sip-y,gos-sipy,1,3,2
legislation,gos-sip-y,gos-sipy,1,3,2
casing,gos-sip-y,gos-sipy,1,3,2
orca,gos-sip-y,gos-sipy,1,3,2
spaniel,gos-sip-y,gos-sipy,1,3,2
shirk,gos-sip-y,gos-sipy,1,3,2
skier,gos-sip-y,gos-sipy,1,3,2
canvass,gos-sip-y,gos-sipy,1,3,2
fetus,gos-sip-y,gos-sipy,1,3,2
laddered,gos-sip-y,gos-sipy,1,3,2
lively,gos-sip-y,gos-sipy,1,3,2
chiffon,gos-sip-y,gos-sipy,1,3,2
myrrh,gos-sip-y,gos-sipy,1,3,2
generosity,gos-sip-y,gos-sipy,1,3,2
cornmeal,gos-sip-y,gos-sipy,1,3,2
loopy,gos-sip-y,gos-sipy,1,3,2
swimmingly,gos-sip-y,gos-sipy,1,3,2
felony,gos-sip-y,gos-sipy,1,3,2
insubstantial,gos-sip-y,gos-sipy,1,3,2
lovely,gos-sip-y,gos-sipy,1,3,2
nicety,gos-sip-y,gos-sipy,1,3,2
inconstant,gos-sip-y,gos-sipy,1,3,2
devilishly,gos-sip-y,gos-sipy,1,3,2
cache,gos-sip-y,gos-sipy,1,3,2
bottled,gos-sip-y,gos-sipy,1,3,2
cultivator,gos-sip-y,gos-sipy,1,3,2
vibrate,gos-sip-y,gos-sipy,1,3,2
defiant,gos-sip-y,gos-sipy,1,3,2
undesired,gos-sip-y,gos-sipy,1,3,2
redevelopment,gos-sip-y,gos-sipy,1,3,2
cluster,gos-sip-y,gos-sipy,1,3,2
inviolable,gos-sip-y,gos-sipy,1,3,2
duke,gos-sip-y,gos-sipy,1,3,2
submitter,gos-sip-y,gos-sipy,1,3,2
biorhythm,gos-sip-y,gos-sipy,1,3,2
disappear,gos-sip-y,gos-sipy,1,3,2
calcareous,gos-sip-y,gos-sipy,1,3,2
lee,gos-sip-y,gos-sipy,1,3,2
harmonica,gos-sip-y,gos-sipy,1,3,2
dilate,gos-sip-y,gos-sipy,1,3,2
ravish,gos-sip-y,gos-sipy,1,3,2
swimwear,gos-sip-y,gos-sipy,1,3,2
uninhabitable,gos-sip-y,gos-sipy,1,3,2
seeker,gos-sip-y,gos-sipy,1,3,2
area,gos-sip-y,gos-sipy,1,3,2
freedom,gos-sip-y,gos-sipy,1,3,2
unattached,gos-sip-y,gos-sipy,1,3,2
firebox,gos-sip-y,gos-sipy,1,3,2
exhausted,gos-sip-y,gos-sipy,1,3,2
trilobite,gos-sip-y,gos-sipy,1,3,2
application,gos-sip-y,gos-sipy,1,3,2
math,gos-sip-y,gos-sipy,1,3,2
deviation,gos-sip-y,gos-sipy,1,3,2
ostentatious,gos-sip-y,gos-sipy,1,3,2
markup,gos-sip-y,gos-sipy,1,3,2
thirteenth,gos-sip-y,gos-sipy,1,3,2
vinegar,gos-sip-y,gos-sipy,1,3,2
protein,gos-sip-y,gos-sipy,1,3,2
permissible,gos-sip-y,gos-sipy,1,3,2
arm,gos-sip-y,gos-sipy,1,3,2
krill,gos-sip-y,gos-sipy,1,3,2
eternally,gos-sip-y,gos-sipy,1,3,2
interplanetary,gos-sip-y,gos-sipy,1,3,2
midair,gos-sip-y,gos-sipy,1,3,2
enchantress,gos-sip-y,gos-sipy,1,3,2
disrespect,gos-sip-y,gos-sipy,1,3,2
unwraps,gos-sip-y,gos-sipy,1,3,2
handrail,gos-sip-y,gos-sipy,1,3,2
subsequently,gos-sip-y,gos-sipy,1,3,2
reoccupation,gos-sip-y,gos-sipy,1,3,2
parenthetical,gos-sip-y,gos-sipy,1,3,2
gleaming,gos-sip-y,gos-sipy,1,3,2
bobcat,gos-sip-y,gos-sipy,1,3,2
menarche,gos-sip-y,gos-sipy,1,3,2
roughen,gos-sip-y,gos-sipy,1,3,2
pastel,gos-sip-y,gos-sipy,1,3,2
endure,gos-sip-y,gos-sipy,1,3,2
gorgeous,gos-sip-y,gos-sipy,1,3,2
rubicon,gos-sip-y,gos-sipy,1,3,2
provoke,gos-sip-y,gos-sipy,1,3,2
dentition,gos-sip-y,gos-sipy,1,3,2
touristy,gos-sip-y,gos-sipy,1,3,2
inert,gos-sip-y,gos-sipy,1,3,2
repossess,gos-sip-y,gos-sipy,1,3,2
thyroid,gos-sip-y,gos-sipy,1,3,2
crater,gos-sip-y,gos-sipy,1,3,2
paleface,gos-sip-y,gos-sipy,1,3,2
figurehead,gos-sip-y,gos-sipy,1,3,2
growler,gos-sip-y,gos-sipy,1,3,2
contrasting,gos-sip-y,gos-sipy,1,3,2
truck,gos-sip-y,gos-sipy,1,3,2
tangelo,gos-sip-y,gos-sipy,1,3,2
reconciliation,gos-sip-y,gos-sipy,1,3,2
bleached,gos-sip-y,gos-sipy,1,3,2
enlarger,gos-sip-y,gos-sipy,1,3,2
foodstuff,gos-sip-y,gos-sipy,1,3,2
antisymmetric,gos-sip-y,gos-sipy,1,3,2
sic,gos-sip-y,gos-sipy,1,3,2
piquancy,gos-sip-y,gos-sipy,1,3,2
disciple,gos-sip-y,gos-sipy,1,3,2
lure,gos-sip-y,gos-sipy,1,3,2
bluster,gos-sip-y,gos-sipy,1,3,2
tailing,gos-sip-y,gos-sipy,1,3,2
predominance,gos-sip-y,gos-sipy,1,3,2
feeder,gos-sip-y,gos-sipy,1,3,2
decorous,gos-sip-y,gos-sipy,1,3,2
unbind,gos-sip-y,gos-sipy,1,3,2
gavial,gos-sip-y,gos-sipy,1,3,2
sty,gos-sip-y,gos-sipy,1,3,2
syllabus,gos-sip-y,gos-sipy,1,3,2
perron,gos-sip-y,gos-sipy,1,3,2
hollow,gos-sip-y,gos-sipy,1,3,2
quicksand,gos-sip-y,gos-sipy,1,3,2
sacramental,gos-sip-y,gos-sipy,1,3,2
conversational,gos-sip-y,gos-sipy,1,3,2
weathered,gos-sip-y,gos-sipy,1,3,2
editable,gos-sip-y,gos-sipy,1,3,2
unelectable,gos-sip-y,gos-sipy,1,3,2
descending,gos-sip-y,gos-sipy,1,3,2
monk,gos-sip-y,gos-sipy,1,3,2
telegraphic,gos-sip-y,gos-sipy,1,3,2
scalable,gos-sip-y,gos-sipy,1,3,2
unendurable,gos-sip-y,gos-sipy,1,3,2
stepped,gos-sip-y,gos-sipy,1,3,2
eyelash,gos-sip-y,gos-sipy,1,3,2
frontier,gos-sip-y,gos-sipy,1,3,2
magma,gos-sip-y,gos-sipy,1,3,2
morocco,gos-sip-y,gos-sipy,1,3,2
playboy,gos-sip-y,gos-sipy,1,3,2
vexed,gos-sip-y,gos-sipy,1,3,2
phototypesetter,gos-sip-y,gos-sipy,1,3,2
marksmanship,gos-sip-y,gos-sipy,1,3,2
whose,gos-sip-y,gos-sipy,1,3,2
polar,gos-sip-y,gos-sipy,1,3,2
giraffe,gos-sip-y,gos-sipy,1,3,2
untidy,gos-sip-y,gos-sipy,1,3,2
cadge,gos-sip-y,gos-sipy,1,3,2
syntactic,gos-sip-y,gos-sipy,1,3,2
lapel,gos-sip-y,gos-sipy,1,3,2
unidentifiable,gos-sip-y,gos-sipy,1,3,2
clear,gos-sip-y,gos-sipy,1,3,2
raised,gos-sip-y,gos-sipy,1,3,2
valueless,gos-sip-y,gos-sipy,1,3,2
commencement,gos-sip-y,gos-sipy,1,3,2
stab,gos-sip-y,gos-sipy,1,3,2
joyriding,gos-sip-y,gos-sipy,1,3,2
criminality,gos-sip-y,gos-sipy,1,3,2
louche,gos-sip-y,gos-sipy,1,3,2
seaworthy,gos-sip-y,gos-sipy,1,3,2
bottler,gos-sip-y,gos-sipy,1,3,2
reprise,gos-sip-y,gos-sipy,1,3,2
morphia,gos-sip-y,gos-sipy,1,3,2
deluxe,gos-sip-y,gos-sipy,1,3,2
innovative,gos-sip-y,gos-sipy,1,3,2
she,gos-sip-y,gos-sipy,1,3,2
ria,gos-sip-y,gos-sipy,1,3,2
distaff,gos-sip-y,gos-sipy,1,3,2
roughing,gos-sip-y,gos-sipy,1,3,2
unicellular,gos-sip-y,gos-sipy,1,3,2
spastic,gos-sip-y,gos-sipy,1,3,2
wrinkle,gos-sip-y,gos-sipy,1,3,2
monkfish,gos-sip-y,gos-sipy,1,3,2
fetish,gos-sip-y,gos-sipy,1,3,2
pacifist,gos-sip-y,gos-sipy,1,3,2
infelicitous,gos-sip-y,gos-sipy,1,3,2
banjo,gos-sip-y,gos-sipy,1,3,2
seamlessly,gos-sip-y,gos-sipy,1,3,2
considerably,gos-sip-y,gos-sipy,1,3,2
roundabout,gos-sip-y,gos-sipy,1,3,2
elicit,gos-sip-y,gos-sipy,1,3,2
postgraduate,gos-sip-y,gos-sipy,1,3,2
foolery,gos-sip-y,gos-sipy,1,3,2
cicada,gos-sip-y,gos-sipy,1,3,2
unawakened,gos-sip-y,gos-sipy,1,3,2
rulebook,gos-sip-y,gos-sipy,1,3,2
mode,gos-sip-y,gos-sipy,1,3,2
untaxing,gos-sip-y,gos-sipy,1,3,2
numbing,gos-sip-y,gos-sipy,1,3,2
leap,gos-sip-y,gos-sipy,1,3,2
carport,gos-sip-y,gos-sipy,1,3,2
guided,gos-sip-y,gos-sipy,1,3,2
scouting,gos-sip-y,gos-sipy,1,3,2
barracks,gos-sip-y,gos-sipy,1,3,2
combinatorial,gos-sip-y,gos-sipy,1,3,2
bismuth,gos-sip-y,gos-sipy,1,3,2
conveyor,gos-sip-y,gos-sipy,1,3,2
withers,gos-sip-y,gos-sipy,1,3,2
relieve,gos-sip-y,gos-sipy,1,3,2
cruncher,gos-sip-y,gos-sipy,1,3,2
menstrual,gos-sip-y,gos-sipy,1,3,2
suited,gos-sip-y,gos-sipy,1,3,2
hidden,gos-sip-y,gos-sipy,1,3,2
holism,gos-sip-y,gos-sipy,1,3,2
determined,gos-sip-y,gos-sipy,1,3,2
stead,gos-sip-y,gos-sipy,1,3,2
fettered,gos-sip-y,gos-sipy,1,3,2
youthful,gos-sip-y,gos-sipy,1,3,2
dragoon,gos-sip-y,gos-sipy,1,3,2
knowing,gos-sip-y,gos-sipy,1,3,2
tailplane,gos-sip-y,gos-sipy,1,3,2
rescale,gos-sip-y,gos-sipy,1,3,2
physiotherapy,gos-sip-y,gos-sipy,1,3,2
stem,gos-sip-y,gos-sipy,1,3,2
exigency,gos-sip-y,gos-sipy,1,3,2
freshly,gos-sip-y,gos-sipy,1,3,2
pram,gos-sip-y,gos-sipy,1,3,2
fastener,gos-sip-y,gos-sipy,1,3,2
drove,gos-sip-y,gos-sipy,1,3,2
defaulter,gos-sip-y,gos-sipy,1,3,2
teller,gos-sip-y,gos-sipy,1,3,2
mall,gos-sip-y,gos-sipy,1,3,2
cobble,gos-sip-y,gos-sipy,1,3,2
fission,gos-sip-y,gos-sipy,1,3,2
beard,gos-sip-y,gos-sipy,1,3,2
coppice,gos-sip-y,gos-sipy,1,3,2
bootless,gos-sip-y,gos-sipy,1,3,2
stink,gos-sip-y,gos-sipy,1,3,2
havering,gos-sip-y,gos-sipy,1,3,2
premolar,gos-sip-y,gos-sipy,1,3,2
eloquence,gos-sip-y,gos-sipy,1,3,2
duff,gos-sip-y,gos-sipy,1,3,2
chronograph,gos-sip-y,gos-sipy,1,3,2
quark,gos-sip-y,gos-sipy,1,3,2
evacuee,gos-sip-y,gos-sipy,1,3,2
weirdness,gos-sip-y,gos-sipy,1,3,2
origami,gos-sip-y,gos-sipy,1,3,2
intrigue,gos-sip-y,gos-sipy,1,3,2
firkin,gos-sip-y,gos-sipy,1,3,2
permanent,gos-sip-y,gos-sipy,1,3,2
conclave,gos-sip-y,gos-sipy,1,3,2
assiduity,gos-sip-y,gos-sipy,1,3,2
evasive,gos-sip-y,gos-sipy,1,3,2
want,gos-sip-y,gos-sipy,1,3,2
annex,gos-sip-y,gos-sipy,1,3,2
vitriolic,gos-sip-y,gos-sipy,1,3,2
iconoclasm,gos-sip-y,gos-sipy,1,3,2
makeup,gos-sip-y,gos-sipy,1,3,2
screamingly,gos-sip-y,gos-sipy,1,3,2
flippant,gos-sip-y,gos-sipy,1,3,2
dodecahedron,gos-sip-y,gos-sipy,1,3,2
regroup,gos-sip-y,gos-sipy,1,3,2
rachis,gos-sip-y,gos-sipy,1,3,2
querulous,gos-sip-y,gos-sipy,1,3,2
heroine,gos-sip-y,gos-sipy,1,3,2
bud,gos-sip-y,gos-sipy,1,3,2
paginal,gos-sip-y,gos-sipy,1,3,2
hypothetical,gos-sip-y,gos-sipy,1,3,2
narrate,gos-sip-y,gos-sipy,1,3,2
devalue,gos-sip-y,gos-sipy,1,3,2
accurately,gos-sip-y,gos-sipy,1,3,2
interoperability,gos-sip-y,gos-sipy,1,3,2
unarmed,gos-sip-y,gos-sipy,1,3,2
facade,gos-sip-y,gos-sipy,1,3,2
profligate,gos-sip-y,gos-sipy,1,3,2
contraband,gos-sip-y,gos-sipy,1,3,2
bunker,gos-sip-y,gos-sipy,1,3,2
ceremonial,gos-sip-y,gos-sipy,1,3,2
anonymity,gos-sip-y,gos-sipy,1,3,2
anon,gos-sip-y,gos-sipy,1,3,2
chessboard,gos-sip-y,gos-sipy,1,3,2
gavotte,gos-sip-y,gos-sipy,1,3,2
hippocampus,gos-sip-y,gos-sipy,1,3,2
station,gos-sip-y,gos-sipy,1,3,2
projective,gos-sip-y,gos-sipy,1,3,2
puree,gos-sip-y,gos-sipy,1,3,2
elm,gos-sip-y,gos-sipy,1,3,2
championship,gos-sip-y,gos-sipy,1,3,2
galaxy,gos-sip-y,gos-sipy,1,3,2
fingerboard,gos-sip-y,gos-sipy,1,3,2
rumpled,gos-sip-y,gos-sipy,1,3,2
semblance,gos-sip-y,gos-sipy,1,3,2
disarray,gos-sip-y,gos-sipy,1,3,2
camp,gos-sip-y,gos-sipy,1,3,2
mastodon,gos-sip-y,gos-sipy,1,3,2
insanitary,gos-sip-y,gos-sipy,1,3,2
fungal,gos-sip-y,gos-sipy,1,3,2
empire,gos-sip-y,gos-sipy,1,3,2
handicap,gos-sip-y,gos-sipy,1,3,2
sneak,gos-sip-y,gos-sipy,1,3,2
satellite,gos-sip-y,gos-sipy,1,3,2
rigidly,gos-sip-y,gos-sipy,1,3,2
untested,gos-sip-y,gos-sipy,1,3,2
unevenly,gos-sip-y,gos-sipy,1,3,2
smite,gos-sip-y,gos-sipy,1,3,2
bustard,gos-sip-y,gos-sipy,1,3,2
virile,gos-sip-y,gos-sipy,1,3,2
charitably,gos-sip-y,gos-sipy,1,3,2
weigh,gos-sip-y,gos-sipy,1,3,2
saltwater,gos-sip-y,gos-sipy,1,3,2
engineer,gos-sip-y,gos-sipy,1,3,2
gargoyle,gos-sip-y,gos-sipy,1,3,2
attic,gos-sip-y,gos-sipy,1,3,2
buggery,gos-sip-y,gos-sipy,1,3,2
confessional,gos-sip-y,gos-sipy,1,3,2
dispassionate,gos-sip-y,gos-sipy,1,3,2
willing,gos-sip-y,gos-sipy,1,3,2
octet,gos-sip-y,gos-sipy,1,3,2
zeolite,gos-sip-y,gos-sipy,1,3,2
blandly,gos-sip-y,gos-sipy,1,3,2
porcelain,gos-sip-y,gos-sipy,1,3,2
gag,gos-sip-y,gos-sipy,1,3,2
lessee,gos-sip-y,gos-sipy,1,3,2
inextricably,gos-sip-y,gos-sipy,1,3,2
astrological,gos-sip-y,gos-sipy,1,3,2
granular,gos-sip-y,gos-sipy,1,3,2
unseal,gos-sip-y,gos-sipy,1,3,2
neurosurgeon,gos-sip-y,gos-sipy,1,3,2
poetic,gos-sip-y,gos-sipy,1,3,2
frisk,gos-sip-y,gos-sipy,1,3,2
shouldered,gos-sip-y,gos-sipy,1,3,2
glob,gos-sip-y,gos-sipy,1,3,2
moderator,gos-sip-y,gos-sipy,1,3,2
generously,gos-sip-y,gos-sipy,1,3,2
evince,gos-sip-y,gos-sipy,1,3,2
monopolistic,gos-sip-y,gos-sipy,1,3,2
codpiece,gos-sip-y,gos-sipy,1,3,2
tent,gos-sip-y,gos-sipy,1,3,2
messenger,gos-sip-y,gos-sipy,1,3,2
earthquake,gos-sip-y,gos-sipy,1,3,2
bunkum,gos-sip-y,gos-sipy,1,3,2
ultimo,gos-sip-y,gos-sipy,1,3,2
footway,gos-sip-y,gos-sipy,1,3,2
perpetuation,gos-sip-y,gos-sipy,1,3,2
beneficiary,gos-sip-y,gos-sipy,1,3,2
septet,gos-sip-y,gos-sipy,1,3,2
closely,gos-sip-y,gos-sipy,1,3,2
shaggy,gos-sip-y,gos-sipy,1,3,2
horsehair,gos-sip-y,gos-sipy,1,3,2
ontological,gos-sip-y,gos-sipy,1,3,2
unsurprisingly,gos-sip-y,gos-sipy,1,3,2
luckily,gos-sip-y,gos-sipy,1,3,2
tights,gos-sip-y,gos-sipy,1,3,2
suburban,gos-sip-y,gos-sipy,1,3,2
chancel,gos-sip-y,gos-sipy,1,3,2
flank,gos-sip-y,gos-sipy,1,3,2
optionality,gos-sip-y,gos-sipy,1,3,2
springy,gos-sip-y,gos-sipy,1,3,2
kudu,gos-sip-y,gos-sipy,1,3,2
integer,gos-sip-y,gos-sipy,1,3,2
performance,gos-sip-y,gos-sipy,1,3,2
jussive,gos-sip-y,gos-sipy,1,3,2
disguise,gos-sip-y,gos-sipy,1,3,2
open,gos-sip-y,gos-sipy,1,3,2
unflattering,gos-sip-y,gos-sipy,1,3,2
shortly,gos-sip-y,gos-sipy,1,3,2
capacitor,gos-sip-y,gos-sipy,1,3,2
uncorrected,gos-sip-y,gos-sipy,1,3,2
longitudinal,gos-sip-y,gos-sipy,1,3,2
sidestep,gos-sip-y,gos-sipy,1,3,2
unwillingly,gos-sip-y,gos-sipy,1,3,2
