word,ortho_syl,phon_syl,syl_count
ceremonious,cer-e-mo-ni-ous,"sɛ.ɹɪ.moʊ.njəs,4.0
caustical,caus-ti-cal,kɔɚ.stɪ.kəl,3.0
bioscope,bi-o-scope,baɪ.əs.koʊp,3.0
colours,col-ours,kʌ.ləz,2.0
animadvert,an-i-mad-vert,"æ.nɪ.mæd.vɚt,4.0
blushingly,blush-ing-ly,blʌ.ʃɪŋ.lɪ,3.0
adipose,ad-i-pose,æ.dɪ.poʊs,3.0
anarchist,an-ar-chist,æ.nə.kɪst,3.0
colonize,col-o-nize,kɑ.lə.naɪz,3.0
adventurous,ad-ven-tur-ous,əd.vɛn.tʃə.ɹəs,4.0
antirrhinum,an-tir-rhi-num,"æn.tɪ.ɹaɪ.nəm,4.0
adamantine,ad-a-man-tine,"æ.də.mæn.taɪn,4.0
civil disobedience,civ-il dis-o-be-di-ence,"sɪ.vəl.dɪ.sə.biː.djəns,6.0
botcher,botch-er,bɑ.tʃəR,2.0
Australasian,Aus-tral-a-sian,"ɑ.stɹə.leɪ.ʒən,4.0
blemish,blem-ish,blɛ.mɪʃ,2.0
clock-watching,clock--watch-ing,klɑk."wɑ.tʃɪŋ,3.0
capital,cap-i-tal,kæ.pɪ.təl,3.0
catchy,catch-y,kæ.tʃɪ,2.0
cavalier,cav-a-lier,"kæ.və.lɪɚR,3.0
beneficially,ben-e-fi-cial-ly,"bɛ.nɪ.fɪ.ʃə.lɪ,5.0
chauvinistically,chau-vin-is-ti-cal-ly,"ʃoʊ.vɪ.nɪ.stɪ.kə.lɪ,6.0
beriberi,ber-i-ber-i,"bɛ.ɹɪ.bɛ.ɹɪ,4.0
benefit of the doubt,ben-e-fit of the doubt,"bɛ.nɪ.fɪt.ɑv.ðə.daʊt,6.0
baker's dozen,bak-er's doz-en,"beɪ.kəz.dʌ.zən,4.0
central heating,cen-tral heat-ing,"sɛn.tɹəl.hiː.tɪŋ,4.0
ability,a-bil-i-ty,ə.bɪ.lə.tɪ,4.0
centrifugal,cen-trif-u-gal,sɛn.tɹɪ.fjʊ.gəl,4.0
analogue computer,an-a-logue com-put-er,"æ.nə.lɑg.kəm.pjuː.təR,6.0
acetylene,a-cet-y-lene,ə.sɛ.tɪ.liːn,4.0
cataleptic,cat-a-lep-tic,"kæ.tə.lɛp.tɪk,4.0
aristocratically,a-ris-to-crat-i-cal-ly,"æ.ɹɪ.stə.kɹæ.tɪ.kə.lɪ,7.0
acoustic,a-cous-tic,ə.kuː.stɪk,3.0
bad feeling,bad feel-ing,"bæd.fiː.lɪŋ,3.0
blood brother,blood broth-er,"blʌd.bɹʌ.ðəR,3.0
baronage,bar-on-age,bæ.ɹə.nɪdʒ,3.0
centenary,cen-te-nar-y,sɛn.tiː.nə.ɹɪ,4.0
Ave.,Ave.,æ.və.njuː,3.0
affectingly,af-fect-ing-ly,ə.fɛk.tɪŋ.lɪ,4.0
clarify,clar-i-fy,klæ.ɹɪ.faɪ,3.0
angle-dozer,an-gle--doz-er,æŋ.gəl."doʊ.zə,4.0
bodywork,bod-y-work,bɑ.dɪ.wɚk,3.0
antibody,an-ti-bod-y,æn.tɪ."bɑ.dɪ,4.0
algorithm,al-go-rithm,æl.gə.ɹɪ.ðəm,4.0
battering ram,bat-ter-ing ram,bæ.tə.ɹɪŋ.ɹæm,4.0
asbestos,as-bes-tos,æs.bɛ.stɑs,3.0
cacophonous,ca-coph-o-nous,kæ.kɑ.fə.nəs,4.0
chaperon,chap-er-on,ʃæ.pə.ɹoʊn,3.0
ceremonial,cer-e-mo-ni-al,"sɛ.ɹɪ.moʊ.njəl,4.0
any,an-y,ɛ.nɪ,2.0
aquiline,aq-ui-line,æ.kwɪ.laɪn,3.0
anarchism,an-ar-chism,æ.nə.kɪ.zəm,4.0
busy,bus-y,bɪ.zɪ,2.0
blooming,bloom-ing,bluː.mɪŋ,2.0
aqua vitae,aq-ua vi-tae,"æ.kwə.vaɪ.tiː,4.0
avaricious,av-a-ri-cious,"æ.və.ɹɪ.ʃəs,4.0
charismatic,char-is-mat-ic,"kæ.ɹɪz.mæ.tɪk,4.0
chalkiness,chalk-i-ness,tʃɔɚ.kɪ.nɪs,3.0
ambiguously,am-big-u-ous-ly,æm.bɪ.gjʊɚs.lɪ,4.0
capital punishment,cap-i-tal pun-ish-ment,"kæ.pɪ.təl.pʌ.nɪʃ.mənt,6.0
avenue,av-e-nue,æ.və.njuː,3.0
boarding-school,board-ing--school,bɔɚ.dɪŋ.skuːl,3.0
clarification,clar-i-fi-ca-tion,"klæ.ɹɪ.fɪ.keɪ.ʃən,5.0
classicism,clas-si-cism,klæ.sɪ.sɪ.zəm,4.0
bodice,bod-ice,bɑ.dɪs,2.0
Anno Domini,An-no Dom-i-ni,"æ.noʊ.dɑ.mɪ.naɪ,5.0
allegoric,al-le-gor-ic,"æ.lɪ.gɑ.ɹɪk,4.0
asperse,as-perse,ə.spɚs,2.0
aeronaut,aer-o-naut,ɛɚ.ɹə.nɔɚt,3.0
acid,ac-id,æ.sɪd,2.0
bomber,bomb-er,bɑ.məR,2.0
anomaly,a-nom-a-ly,ə.nɑ.mə.lɪ,4.0
central nervous system,cen-tral nerv-ous sys-tem,"sɛn.tɹəl.nɚ.vəs."sɪ.stəm,6.0
causative,caus-a-tive,kɔɚ.zə.tɪv,3.0
bearishly,bear-ish-ly,bɛɚ.ɹɪʃ.lɪ,3.0
apathetic,ap-a-thet-ic,"æ.pə.θɛ.tɪk,4.0
cafeteria,caf-e-te-ri-a,"kæ.fɪ.tɪɚ.ɹɪɚ,4.0
bigotry,big-ot-ry,bɪ.gə.tɹɪ,3.0
bonded warehouse,bond-ed ware-house,"bɑn.dɪd.wɛɚ.haʊs,4.0
agronomist,a-gron-o-mist,ə.gɹɑ.nə.mɪst,4.0
billsticker,bill-stick-er,bɪl."stɪ.kəR,3.0
Cheshire cat,Chesh-ire cat,"tʃɛ.ʃə.kæt,3.0
amateur,am-a-teur,æ.mə.təR,3.0
boogie-woogie,boog-ie--woog-ie,buː.gɪ."wuː.gɪ,4.0
cigarette,cig-a-rette,"sɪ.gə.ɹɛt,3.0
antihistamine,an-ti-his-ta-mine,"æn.tɪ.hɪ.stə.mɪn,5.0
accelerate,ac-cel-er-ate,ək.sɛ.lə.ɹeɪt,4.0
abrogate,ab-ro-gate,æ.bɹoʊ.geɪt,3.0
caricaturist,car-i-ca-tur-ist,kæ.ɹɪ.kə."tjʊɚ.ɹɪst,5.0
call upon,call up-on,kɔɚl.ə."pɑn,3.0
balding,bald-ing,bɔɚl.dɪŋ,2.0
bravery,brav-er-y,bɹeɪ.və.ɹɪ,3.0
Capricorn,Cap-ri-corn,kæ.pɹɪ.kɔɚn,3.0
ammoniated,am-mo-ni-at-ed,ə.moʊ.nɪ.eɪ.tɪd,5.0
circularize,cir-cu-lar-ize,sɚ.kjʊ.lə.ɹaɪz,4.0
bell-wether,bell--weth-er,bɛl."wɛ.ðəR,3.0
central government,cen-tral gov-ern-ment,"sɛn.tɹəl.gʌ.vən.mənt,5.0
cavity wall,cav-i-ty wall,kæ.və.tɪ.wɔɚl,4.0
anemometer,an-e-mom-e-ter,"æ.nɪ.mɑ.mɪ.təR,5.0
causally,caus-al-ly,kɔɚ.zə.lɪ,3.0
bookkeeping,book-keep-ing,bʊk."kiː.pɪŋ,3.0
axiomatically,ax-i-o-mat-i-cal-ly,"æk.sɪ.oʊ.mæ.tɪ.kə.lɪ,7.0
aster,as-ter,æ.stəR,2.0
attribute,at-trib-ute,æ.tɹɪ.bjuːt,3.0
aquarium,a-quar-i-um,ə.kwɛɚ.ɹɪɚm,3.0
calligraphy,cal-lig-ra-phy,kə.lɪ.gɹə.fɪ,4.0
boomerang,boom-er-ang,buː.mə.ɹæŋ,3.0
atypically,a-typ-i-cal-ly,"eɪ.tɪ.pɪ.kə.lɪ,5.0
celibacy,cel-i-ba-cy,sɛ.lɪ.bə.sɪ,4.0
aberrant,ab-er-rant,æ.bɛ.ɹənt,3.0
atomize,at-om-ize,æ.toʊ.maɪz,3.0
ab initio,ab in-i-ti-o,"æ.bɪ.nɪ.ʃɪ.oʊ,5.0
coeducational,co-ed-u-ca-tion-al,"koʊ.ɛ.djuː.keɪ.ʃə.nəl,6.0
atom bomb,at-om bomb,æ.təm.bɑm,3.0
citizenship,cit-i-zen-ship,sɪ.tɪ.zən.ʃɪp,4.0
balloonist,bal-loon-ist,bə.luː.nɪst,3.0
Anglicanism,An-gli-can-ism,æŋ.glɪ.kə.nɪ.zəm,5.0
bather,bath-er,beɪ.ðəR,2.0
bodily,bod-i-ly,bɑ.dɪ.lɪ,3.0
combatant,com-bat-ant,kɑm.bə.tənt,3.0
comics,com-ics,kɑ.mɪks,2.0
balance of trade,bal-ance of trade,"bæ.ləns.ɑv.tɹeɪd,4.0
cease-fire,cease--fire,"siːs.faɪ.əR,3.0
ancillary,an-cil-lar-y,æn.sɪ.lə.ɹɪ,4.0
alopecia,al-o-pe-ci-a,"æ.lə.piː.ʃə,4.0
border on,bor-der on,bɔɚ.də.ɹɑn,3.0
choreographer,cho-re-og-ra-pher,"kɑ.ɹɪ.ɑ.gɹə.fəR,5.0
clincher,clinch-er,klɪn.tʃəR,2.0
cogitation,cog-i-ta-tion,"kɑ.dʒɪ.teɪ.ʃən,4.0
atrophy,at-ro-phy,æ.tɹə.fɪ,3.0
Aries,Ar-ies,ɛɚ.ɹiːz,2.0
commercial traveller,com-mer-cial trav-el-ler,kə."mɚ.ʃəl.tɹæv.ləR,5.0
caseous,ca-se-ous,keɪ.sɪɚs,2.0
brigadier-general,brig-a-dier--gen-e-ral,"bɹɪ.gə.dɪɚ.dʒɛ.nə.ɹəl,6.0
beholder,be-hold-er,bɪ.hoʊl.dəR,3.0
bisexually,bi-sex-u-al-ly,"baɪ.sɛk.ʃʊɚ.lɪ,4.0
attacker,at-tack-er,ə.tæ.kəR,3.0
clerical,cler-i-cal,klɛ.ɹɪ.kəl,3.0
acrobat,ac-ro-bat,æ.kɹə.bæt,3.0
climber,climb-er,klaɪ.məR,2.0
caparison,ca-par-i-son,kə.pæ.ɹɪ.sən,4.0
adamant,ad-a-mant,æ.də.mənt,3.0
astronomically,as-tro-nom-i-cal-ly,"æ.stɹə.nɑ.mɪ.kə.lɪ,6.0
ablution,ab-lu-tion,ə.bluː.ʃən,3.0
capitulations,ca-pit-u-la-tions,kə."pɪ.tʃʊ.leɪ.ʃənz,5.0
bear upon,bear up-on,bɛɚ.ɹə."pɑn,3.0
beggarwoman,beg-gar-wom-an,bɛ.gə."wʊ.mən,4.0
ambient,am-bi-ent,æm.bɪɚnt,2.0
comfortable,com-fort-a-ble,kʌm.fə.tə.bəl,4.0
bailiff,bail-iff,beɪ.lɪf,2.0
breech-loader,breech--load-er,bɹiːtʃ."loʊ.dəR,3.0
alum,al-um,æ.ləm,2.0
climatical,cli-mat-i-cal,klaɪ.mæ.tɪ.kəl,4.0
atonality,a-to-nal-i-ty,"eɪ.toʊ.næ.lə.tɪ,5.0
alienable,al-ien-a-ble,eɪ.ljə.nə.bəl,4.0
beater,beat-er,biː.təR,2.0
aconite,ac-o-nite,æ.kə.naɪt,3.0
base metal,base met-al,"beɪs.mɛ.təl,3.0
bodily,bod-i-ly,bɑ.dɪ.lɪ,3.0
appearances,ap-pear-anc-es,ə.piː.ɹən.sɪz,4.0
anyone,an-y-one,ɛ.nɪ.wʌn,3.0
cerebrate,cer-e-brate,sɛ.ɹɪ.bɹeɪt,3.0
celery,cel-er-y,sɛ.lə.ɹɪ,3.0
chimneysweeper,chim-ney-sweep-er,tʃɪm.nɪ."swiː.pəR,4.0
claimant,claim-ant,kleɪ.mənt,2.0
backfire,back-fire,"bæk.faɪ.əR,3.0
amateurism,am-a-teur-ism,æ.mə.tə.ɹɪ.zəm,5.0
casuistic,cas-u-is-tic,"kæ.zjʊ.ɪ.stɪk,4.0
comedy,com-e-dy,kɑ.mə.dɪ,3.0
Bros.,Bros.,bɹʌ.ðəz,2.0
authoritative,au-thor-i-ta-tive,ɔɚ.θɑ.ɹɪ.tə.tɪv,5.0
alluring,al-lur-ing,ə.ljʊɚ.ɹɪŋ,3.0
Chinese chequers,Chin-ese cheq-uers,"tʃaɪ.niːz.tʃɛ.kəz,4.0
codify,cod-i-fy,koʊ.dɪ.faɪ,3.0
aerially,aer-i-al-ly,ɛɚ.ɹɪɚ.lɪ,3.0
benevolently,be-nev-o-lent-ly,bɪ.nɛ.və.lənt.lɪ,5.0
adorer,a-dor-er,ə.dɔɚ.ɹəR,3.0
clinical,clin-i-cal,klɪ.nɪ.kəl,3.0
abomination,a-bom-i-na-tion,ə."bɑ.mɪ.neɪ.ʃən,5.0
average,av-er-age,æ.və.ɹɪdʒ,3.0
blessed,bless-ed,blɛ.sɪd,2.0
comber,comb-er,koʊ.məR,2.0
colonization,col-o-ni-za-tion,"kɑ.lə.naɪ.zeɪ.ʃən,5.0
capitulation,ca-pit-u-la-tion,kə."pɪ.tʃʊ.leɪ.ʃən,5.0
barrier,bar-ri-er,bæ.ɹɪɚR,2.0
build upon,build up-on,bɪld.ə."pɑn,3.0
acidic,a-cid-ic,ə.sɪ.dɪk,3.0
asthmatic,asth-mat-ic,æs.mæ.tɪk,3.0
campanula,cam-pan-u-la,kəm.pæ.njʊ.lə,4.0
abdominal,ab-dom-i-nal,æb.dɑ.mɪ.nəl,4.0
bouncer,bounc-er,baʊn.səR,2.0
coming-out,com-ing--out,"kɔɚ.mɪŋ.aʊt,3.0
alliterative,al-lit-er-a-tive,ə.lɪ.tə.ɹə.tɪv,5.0
barefooted,bare-foot-ed,"bɛɚ.fʊ.tɪd,3.0
blazer,blaz-er,bleɪ.zəR,2.0
cavalierly,cav-a-lier-ly,"kæ.və.lɪɚ.lɪ,4.0
baptism,bap-tism,bæp.tɪ.zəm,3.0
asseveration,as-sev-er-a-tion,ə."sɛ.və.ɹeɪ.ʃən,5.0
auctioneer,auc-tion-eer,"ɔɚk.ʃə.nɪɚR,3.0
cf.,cf.,kəm.pɛɚR,2.0
bawdily,bawd-i-ly,bɔɚ.dɪ.lɪ,3.0
amorously,am-o-rous-ly,æ.mə.ɹəs.lɪ,4.0
beatific,be-a-tif-ic,"biː.ə.tɪ.fɪk,4.0
atavistic,at-a-vis-tic,"æ.tə.vɪ.stɪk,4.0
cataract,cat-a-ract,kæ.tə.ɹækt,3.0
capitulate,ca-pit-u-late,kə.pɪ.tʃʊ.leɪt,4.0
avidly,av-id-ly,æ.vɪd.lɪ,3.0
chicle,chic-le,tʃɪ.kəl,2.0
agitating,ag-i-tat-ing,æ.dʒɪ.teɪ.tɪŋ,4.0
Capitol,Cap-i-tol,kæ.pɪ.təl,3.0
boarder,board-er,bɔɚ.dəR,2.0
biblically,bib-li-cal-ly,bɪ.blɪ.kə.lɪ,4.0
authoritarian,au-thor-i-tar-i-an,ɔɚ."θɑ.ɹɪ.tɛɚ.ɹɪɚn,5.0
admissibility,ad-mis-si-bil-i-ty,əd."mɪ.sə.bɪ.lə.tɪ,6.0
air-minded,air--mind-ed,ɛɚ."maɪn.dɪd,3.0
clownish,clown-ish,klaʊ.nɪʃ,2.0
biotic,bi-ot-ic,baɪ.ɑ.tɪk,3.0
acquired taste,ac-quired taste,ə."kwaɪ.əd.teɪst,4.0
Afghanistani,Af-ghan-i-stan-i,æf.gæ.nɪ."stæ.nɪ,5.0
cashable,cash-a-ble,kæ.ʃə.bəl,3.0
beggary,beg-gar-y,bɛ.gə.ɹɪ,3.0
biochemistry,bi-o-chem-is-try,"baɪ.oʊ.kɛ.mɪ.stɹɪ,5.0
brawniness,brawn-i-ness,bɹɔɚ.nɪ.nɪs,3.0
Adam's apple,Ad-am's ap-ple,"æ.dəmz.æ.pəl,4.0
clemency,clem-en-cy,klɛ.mən.sɪ,3.0
caravansary,car-a-van-sa-ry,"kæ.ɹə.væn.sə.ɹɪ,5.0
catching,catch-ing,kæ.tʃɪŋ,2.0
clerihew,cler-i-hew,klɛ.ɹɪ.hjuː,3.0
collaborator,col-lab-o-ra-tor,kə.læ.bə.ɹeɪ.təR,5.0
civil liberty,civ-il lib-er-ty,"sɪ.vəl.lɪ.bə.tɪ,5.0
awkwardness,awk-ward-ness,ɔɚ.kwəd.nɪs,3.0
aquatic,a-quat-ic,ə.kwæ.tɪk,3.0
biological,bi-o-log-i-cal,"baɪ.oʊ.lɑ.dʒɪ.kəl,5.0
chisel,chis-el,tʃɪ.zəl,2.0
aspic,as-pic,æ.spɪk,2.0
chamois-leather,cham-ois--leath-er,ʃæ.mɪ."lɛ.ðəR,4.0
castigation,cas-ti-ga-tion,"kæ.stɪ.geɪ.ʃən,4.0
bloody-minded,blood-y--mind-ed,"blʌ.dɪ.maɪn.dɪd,4.0
bigamy,big-a-my,bɪ.gə.mɪ,3.0
acreage,a-cre-age,eɪ.kə.ɹɪdʒ,3.0
camphorated,cam-pho-rat-ed,kæm.fə.ɹeɪ.tɪd,4.0
bookmaker,book-mak-er,bʊk."meɪ.kəR,3.0
caries,car-ies,kɛɚ.ɹiːz,2.0
admonish,ad-mon-ish,əd.mɑ.nɪʃ,3.0
anodyne,an-o-dyne,æ.noʊ.daɪn,3.0
cackler,cack-ler,kæ.kəl.əR,3.0
aspersion,as-per-sion,ə.spɚ.ʃən,3.0
changeableness,change-a-ble-ness,tʃeɪn.dʒə.bəl.nɪs,4.0
capillary,cap-il-lar-y,kə.pɪ.lə.ɹɪ,4.0
Chadian,Chad-ian,tʃæ.dɪɚn,2.0
bionic,bi-on-ic,baɪ.ɑ.nɪk,3.0
boater,boat-er,boʊ.təR,2.0
anxiously,anx-ious-ly,æŋk.ʃəs.lɪ,3.0
chicken,chick-en,tʃɪ.kɪn,2.0
bracelets,brace-lets,bɹeɪ.slɪts,2.0
Chilean,Chi-le-an,tʃɪ.lɪɚn,2.0
comfortably,com-fort-a-bly,kʌm.fə.tə.blɪ,4.0
adding-machine,add-ing--ma-chine,æ.dɪŋ.mə."ʃiːn,4.0
churlishness,churl-ish-ness,tʃɚ.lɪʃ.nɪs,3.0
acrimoniously,ac-ri-mo-ni-ous-ly,"æ.kɹɪ.moʊ.njəs.lɪ,5.0
cerebrally,cer-e-bral-ly,sɛ.ɹɪ.bɹə.lɪ,4.0
alexandrine,al-ex-an-drine,"æ.lɪg.zæn.dɹaɪn,4.0
colour,col-our,kʌ.ləR,2.0
campfire,camp-fire,kæmp."faɪ.əR,3.0
charity school,char-i-ty school,tʃæ.ɹə.tɪ.skuːl,4.0
coherently,co-her-ent-ly,koʊ.hɪɚ.ɹənt.lɪ,4.0
anachronism,a-nach-ro-nism,ə.næ.kɹə.nɪ.zəm,5.0
cohabit,co-hab-it,koʊ.hæ.bɪt,3.0
cereal,ce-re-al,sɪɚ.ɹɪɚl,2.0
anthropologically,an-thro-po-log-i-cal-ly,"æn.θɹə.pə.lɑ.dʒɪ.kə.lɪ,7.0
centralism,cen-tral-ism,sɛn.tɹə.lɪ.zəm,4.0
boorishly,boor-ish-ly,bʊɚ.ɹɪʃ.lɪ,3.0
accustomed,ac-cus-tomed,ə.kʌ.stəmd,3.0
alcoholism,al-co-hol-ism,æl.kə.hɑ.lɪ.zəm,5.0
borough,bor-ough,bʌ.ɹə,2.0
clownishly,clown-ish-ly,klaʊ.nɪʃ.lɪ,3.0
ambivalent,am-biv-a-lent,æm.bɪ.və.lənt,4.0
anodyne,an-o-dyne,æ.noʊ.daɪn,3.0
circumnavigation,cir-cum-nav-i-ga-tion,"sɚ.kəm."næ.vɪ.geɪ.ʃən,6.0
bushwhacker,bush-whack-er,bʊʃ.wæ.kəR,3.0
angelically,an-gel-i-cal-ly,ən.dʒɛ.lɪ.kə.lɪ,5.0
blotchy,blotch-y,blɑ.tʃɪ,2.0
accordance,ac-cord-ance,ə.kɔɚ.dəns,3.0
coachbuilder,coach-build-er,koʊtʃ."bɪl.dəR,3.0
choir,choir,kwaɪ.əR,2.0
anis,an-is,æ.niːs,2.0
brotherly,broth-er-ly,bɹʌ.ðə.lɪ,3.0
burial,bur-i-al,bɛ.ɹɪɚl,2.0
angle bracket,an-gle brack-et,æŋ.gəl."bɹæ.kɪt,4.0
characteristically,char-ac-ter-is-ti-cal-ly,"kæ.ɹək.tə.ɹɪ.stɪ.kə.lɪ,7.0
bloodthirstiness,blood-thirst-i-ness,blʌd."θɚ.stɪ.nɪs,4.0
beetling,bee-tling,biː.təl.ɪŋ,3.0
antipodes,an-tip-o-des,æn.tɪ.pə.diːz,4.0
cochineal,coch-i-neal,kɑ.tʃɪ.niːl,3.0
acc.,acc.,"eɪ.siː.siː,3.0
asthmatic,asth-mat-ic,æs.mæ.tɪk,3.0
atabrine,at-a-brine,æ.tə.bɹiːn,3.0
caustic,caus-tic,kɔɚ.stɪk,2.0
bawdy,bawd-y,bɔɚ.dɪ,2.0
antacid,ant-ac-id,"æn.tæ.sɪd,3.0
beacon-fire,bea-con--fire,biː.kən.faɪ.əR,4.0
banish,ban-ish,bæ.nɪʃ,2.0
bucketful,buck-et-ful,bʌ.kɪt.fʊl,3.0
apocalyptically,a-poc-a-lyp-ti-cal-ly,ə."pɑ.kə.lɪp.tɪ.klɪ,6.0
Chadian,Chad-ian,tʃæ.dɪɚn,2.0
bloody,blood-y,blʌ.dɪ,2.0
bantering,ban-ter-ing,bæn.tə.ɹɪŋ,3.0
circumference,cir-cum-fer-ence,sə.kʌm.fə.ɹəns,4.0
civil marriage,civ-il mar-riage,"sɪ.vəl.mæ.ɹɪdʒ,4.0
beneficed,ben-e-ficed,bɛ.nɪ.fɪst,3.0
bearably,bear-a-bly,bɛɚ.ɹə.blɪ,3.0
anthropological,an-thro-po-log-i-cal,"æn.θɹə.pə.lɑ.dʒɪ.kəl,6.0
asymmetric,a-sym-met-ric,"eɪ.sɪ.mɛ.tɹɪk,4.0
biblical,bib-li-cal,bɪ.blɪ.kəl,3.0
admonishingly,ad-mon-ish-ing-ly,əd.mɑ.nɪ.ʃɪŋ.lɪ,5.0
big sister,big sis-ter,"bɪg.sɪ.stəR,3.0
anticipate,an-tic-i-pate,æn.tɪ.sɪ.peɪt,4.0
astutely,as-tute-ly,ə.stuːt.lɪ,3.0
adumbrate,ad-um-brate,æ.dʌm.bɹeɪt,3.0
catapult,cat-a-pult,kæ.tə.pʌlt,3.0
aridity,a-rid-i-ty,æ.ɹɪ.də.tɪ,4.0
cacophony,ca-coph-o-ny,kæ.kɑ.fə.nɪ,4.0
canopy,can-o-py,kæ.nə.pɪ,3.0
closet,clos-et,klɑ.zɪt,2.0
brainy,brain-y,bɹeɪ.nɪ,2.0
bona fide,bo-na fide,"boʊ.nə.faɪ.dɪ,4.0
boneshaker,bone-shak-er,boʊn."ʃeɪ.kəR,3.0
avens,av-ens,eɪ.vənz,2.0
adjuster,ad-just-er,ə.dʒʌ.stəR,3.0
catcher,catch-er,kæ.tʃəR,2.0
blockade,block-ade,blɑ.keɪd,2.0
anorak,an-o-rak,æ.nə.ɹæk,3.0
BR,BR,"bɹɪ.tɪʃ.ɹeɪl,3.0
cold chisel,cold chis-el,"koʊld.tʃɪ.zəl,3.0
acupuncture,ac-u-punc-ture,æ.kjʊ.pʌŋk.tʃəR,4.0
category,cat-e-go-ry,kæ.tə.gə.ɹɪ,4.0
bathing,bath-ing,beɪ.ðɪŋ,2.0
blacken,black-en,blæ.kən,2.0
adulator,ad-u-la-tor,æ.djʊ.leɪ.təR,4.0
can opener,can o-pen-er,kæn."oʊ.pə.nəR,4.0
agonized,ag-o-nized,æ.gə.naɪzd,3.0
afforestation,af-for-est-a-tion,æ."fɑ.ɹɪ.steɪ.ʃən,5.0
comb.form,comb.form,kəm.baɪ.nɪŋ.fɔɚm,4.0
bastion,bas-tion,bæ.stɪɚn,2.0
cleverly,clev-er-ly,klɛ.və.lɪ,3.0
abominably,a-bom-i-na-bly,ə.bɑ.mɪ.nə.blɪ,5.0
anybody,an-y-bod-y,ɛ.nɪ."bɑ.dɪ,4.0
combining form,com-bin-ing form,kəm.baɪ.nɪŋ.fɔɚm,4.0
bucolic,bu-col-ic,bjuː.kɑ.lɪk,3.0
amorousness,am-o-rous-ness,æ.mə.ɹəs.nɪs,4.0
chronologically,chron-o-log-i-cal-ly,"kɹɑ.nə.lɑ.dʒɪ.kə.lɪ,6.0
chimeric,chi-mer-ic,kaɪ.mɛ.ɹɪk,3.0
civet,civ-et,sɪ.vɪt,2.0
bulginess,bulg-i-ness,bʌl.dʒɪ.nɪs,3.0
aviary,a-vi-ar-y,eɪ.vjə.ɹɪ,3.0
caliphate,cal-i-phate,kæ.lɪ.feɪt,3.0
Burundian,Bu-run-di-an,bʊ.ɹʊn.dɪɚn,3.0
boiling,boil-ing,bɔɪ.lɪŋ,2.0
abortionist,a-bor-tion-ist,ə.bɔɚ.ʃən.ɪst,4.0
abstractedly,ab-stract-ed-ly,æb.stɹæk.tɪd.lɪ,4.0
ashamedly,a-sham-ed-ly,ə.ʃeɪ.mɪd.lɪ,4.0
amicably,am-i-ca-bly,æ.mɪ.kə.blɪ,4.0
backhanded,back-hand-ed,bæk."hæn.dɪd,3.0
adulteration,a-dul-ter-a-tion,ə."dʌl.tə.ɹeɪ.ʃən,5.0
asterisk,as-ter-isk,æ.stə.ɹɪsk,3.0
alienation,al-ien-a-tion,"eɪ.ljə.neɪ.ʃən,4.0
blinders,blind-ers,blaɪn.dəz,2.0
brownie,brown-ie,bɹaʊ.nɪ,2.0
attenuation,at-ten-u-a-tion,ə."tɛ.njʊ.eɪ.ʃən,5.0
absolutism,ab-so-lut-ism,æb.sə.luː.tɪ.zəm,5.0
boxing,box-ing,bɑk.sɪŋ,2.0
Brownie,Brown-ie,bɹaʊ.nɪ,2.0
aquaplane,aq-ua-plane,æ.kwə.pleɪn,3.0
