word,ortho_syl,phon_syl,syl_count
candyfloss,can-dy-floss,kæn.dɪ.flɑs,3.0
blackwater fever,black-wa-ter fe-ver,"blæk.wɔɚ.tə.fiː.vəR,5.0
audibly,au-di-bly,ɔɚ.də.blɪ,3.0
boneless,bone-less,boʊn.lɪs,2.0
change into,change in-to,tʃeɪndʒ."ɪn.tuː,3.0
ambuscade,am-bus-cade,"æm.bəs.keɪd,3.0
bring back,bring back,"bɹɪŋ.bæk,2.0
capricious,ca-pri-cious,kə.pɹɪ.ʃəs,3.0
chorus,cho-rus,kɔɚ.ɹəs,2.0
antifreeze,an-ti-freeze,æn.tɪ.fɹiːz,3.0
Christian Scientist,Chris-tian Sci-en-tist,"kɹɪs.tʃən.saɪ.ən.tɪst,5.0
cheapness,cheap-ness,tʃiːp.nɪs,2.0
carriageway,car-riage-way,kæ.ɹɪdʒ.weɪ,3.0
catalpa,ca-tal-pa,kə.tæl.pə,3.0
come again,come a-gain,"kʌm.ə.gɛn,3.0
amply,am-ply,æm.plɪ,2.0
bookstall,book-stall,bʊk.stɔɚl,2.0
checkpoint,check-point,tʃɛk.pɔɪnt,2.0
approved school,ap-proved school,ə.pɹuːvd.skuːl,3.0
clubbable,club-ba-ble,klʌ.bə.bəl,3.0
Chianti,Chi-an-ti,kɪ.æn.tɪ,3.0
claptrap,clap-trap,klæp.tɹæp,2.0
combination,com-bi-na-tion,"kɑm.bɪ.neɪ.ʃən,4.0
catcall,cat-call,kæt.kɔɚl,2.0
beeswax,bees-wax,biːz.wæks,2.0
calculus,cal-cu-lus,kæl.kjʊ.ləs,3.0
chime in,chime in,"tʃaɪm.ɪn,2.0
come off,come off,"kʌm.ɑf,2.0
bandy about,ban-dy a-bout,"bæn.dɪ.ə.baʊt,4.0
assertiveness,as-ser-tive-ness,ə.sɚ.tɪv.nɪs,4.0
bedside manner,bed-side man-ner,"bɛd.saɪd.mæ.nəR,4.0
amuse,a-muse,ə.mjuːz,2.0
acacia,a-ca-cia,ə.keɪ.ʃə,3.0
cattish,cat-tish,kæ.tɪʃ,2.0
bulletin,bul-le-tin,bʊ.lə.tɪn,3.0
accouchement,ac-couche-ment,ə.kuːʃ.mqŋ,3.0
bell-bottoms,bell--bot-toms,bɛl."bɑ.təmz,3.0
Bantu,Ban-tu,"bæn.tuː,2.0
Burundian,Bu-run-di-an,bʊ.ɹʊn.dɪɚn,3.0
centennial,cen-ten-ni-al,sɛn.tɛ.njəl,3.0
admitted,ad-mit-ted,əd.mɪ.tɪd,3.0
circumstantial,cir-cum-stan-tial,"sɚ.kəm.stæn.ʃəl,4.0
bombastically,bom-bas-ti-cal-ly,bɑm.bæ.stɪ.klɪ,4.0
ancestor,an-ces-tor,æn.sɛ.stəR,3.0
blue baby,blue ba-by,bluː."beɪ.bɪ,3.0
civilian,ci-vil-ian,sɪ.vɪl.jən,3.0
beret,be-ret,bɛ.ɹeɪ,2.0
choicely,choice-ly,tʃɔɪs.lɪ,2.0
clock-tower,clock--tow-er,klɑk."taʊ.əR,3.0
above-named,a-bove--named,ə."bʌv.neɪmd,3.0
adapt,a-dapt,ə.dæpt,2.0
assassinate,as-sas-si-nate,ə.sæ.sɪ.neɪt,4.0
come in on,come in on,"kʌm.ɪn.ɑn,3.0
abash,a-bash,ə.bæʃ,2.0
beef cattle,beef cat-tle,biːf."kæ.təl,3.0
chain-smoke,chain--smoke,tʃeɪn.smoʊk,2.0
bantam,ban-tam,bæn.təm,2.0
bunghole,bung-hole,bʌŋ.hoʊl,2.0
atoll,a-toll,æ.tɑl,2.0
amoeba,a-moe-ba,ə.miː.bə,3.0
bogey,bo-gey,boʊ.gɪ,2.0
absurdly,ab-surd-ly,əb.sɚd.lɪ,3.0
backstair,back-stair,bæk.stɛɚR,2.0
alcove,al-cove,æl.koʊv,2.0
adult,a-dult,æ.dʌlt,2.0
airmail,air-mail,ɛɚ.meɪl,2.0
client,cli-ent,klaɪ.ənt,2.0
accoutrements,ac-cou-tre-ments,ə.kuː.tə.mənts,4.0
Collins,Col-lins,kɑ.lɪnz,2.0
closed book,closed book,"kloʊzd.bʊk,2.0
adjudge,ad-judge,ə.dʒʌdʒ,2.0
bravely,brave-ly,bɹeɪv.lɪ,2.0
colloquy,col-lo-quy,kɑ.lə.kwɪ,3.0
break-in,break--in,bɹeɪk.ɪn,2.0
bifocal,bi-fo-cal,"baɪ.foʊ.kəl,3.0
basely,base-ly,beɪs.lɪ,2.0
antimacassar,an-ti-ma-cas-sar,"æn.tɪ.mə.kæ.səR,5.0
anaemically,a-nae-mi-cal-ly,ə.niː.mɪ.kə.lɪ,5.0
amnesia,am-ne-sia,æm.niː.zjə,3.0
brevet,bre-vet,bɹɛ.vɪt,2.0
bannock,ban-nock,bæ.nək,2.0
arrears,ar-rears,ə.ɹɪɚz,2.0
blue moon,blue moon,"bluː.muːn,2.0
cloudburst,cloud-burst,klaʊd.bɚst,2.0
accuse,ac-cuse,ə.kjuːz,2.0
bran-new,bran--new,"bɹæn.njuː,2.0
ado,a-do,ə.duː,2.0
believe in,be-lieve in,bɪ.liːv.ɪn,3.0
ailment,ail-ment,eɪl.mənt,2.0
bustle with,bus-tle with,bʌ.səl.wɪð,3.0
cat's paw,cat's paw,kæts.pɔɚ,2.0
cocktail,cock-tail,kɑk.teɪl,2.0
burthen,bur-then,bɚ.ðən,2.0
brilliance,bril-liance,bɹɪl.jəns,2.0
between,be-tween,bɪ.twiːn,2.0
blood red,blood red,"blʌd.ɹɛd,2.0
chop-chop,chop--chop,tʃɑp.tʃɑp,2.0
auction,auc-tion,ɔɚk.ʃən,2.0
afloat,a-float,ə.floʊt,2.0
carrier-bag,car-ri-er--bag,kæ.ɹɪɚ.bæg,3.0
attempt,at-tempt,ə.tɛmpt,2.0
bowels,bow-els,baʊ.əlz,2.0
arrive,ar-rive,ə.ɹaɪv,2.0
coffin,cof-fin,kɑ.fɪn,2.0
cautious,cau-tious,kɔɚ.ʃəs,2.0
catwalk,cat-walk,kæt.wɔɚk,2.0
alter,al-ter,ɔɚl.təR,2.0
awareness,a-ware-ness,ə.wɛɚ.nɪs,3.0
cannily,can-ni-ly,kæ.nɪ.lɪ,3.0
clear up,clear up,"klɪɚ.ɹʌp,2.0
bonkers,bon-kers,bɑŋ.kəz,2.0
baby carriage,ba-by car-riage,beɪ.bɪ."kæ.ɹɪdʒ,4.0
cauliflower,cau-li-flow-er,kɑ.lɪ."flaʊ.əR,4.0
acoustic,a-cous-tic,ə.kuː.stɪk,3.0
bundle off,bun-dle off,"bʌn.dəl.ɑf,3.0
bagpipe,bag-pipe,bæg.paɪp,2.0
ad valorem,ad va-lo-rem,"æd.və.lɔɚ.ɹɛm,4.0
clock-golf,clock--golf,"klɑk.gɑlf,2.0
beagle,bea-gle,biː.gəl,2.0
commence,com-mence,kə.mɛns,2.0
amir,a-mir,ə.mɪɚR,2.0
chigger,chig-ger,tʃɪ.gəR,2.0
coalition,co-a-li-tion,"koʊ.ə.lɪ.ʃən,4.0
bituminous,bi-tu-mi-nous,bɪ.tjuː.mɪ.nəs,4.0
aureole,au-re-ole,ɔɚ.ɹɪ.oʊl,3.0
bacterium,bac-te-ri-um,bæk.tɪɚ.ɹɪɚm,3.0
allegation,al-le-ga-tion,"æ.lɪ.geɪ.ʃən,4.0
amplifier,am-pli-fi-er,æm.plɪ.faɪ.əR,4.0
choppiness,chop-pi-ness,tʃɑ.pɪ.nɪs,3.0
bowsprit,bow-sprit,boʊ.spɹɪt,2.0
abeyance,a-bey-ance,ə.beɪ.əns,3.0
brushwood,brush-wood,bɹʌʃ.wʊd,2.0
closed-door,closed--door,"kloʊzd.dɔɚR,2.0
burden of proof,bur-den of proof,"bɚ.dən.ɑv.pɹuːf,4.0
allegedly,al-leg-ed-ly,ə.lɛ.dʒɪd.lɪ,4.0
bye now,bye now,baɪ.naʊ,2.0
blackness,black-ness,blæk.nɪs,2.0
coffers,cof-fers,kɑ.fəz,2.0
assent,as-sent,ə.sɛnt,2.0
bungle,bun-gle,bʌŋ.gəl,2.0
centigrade,cen-ti-grade,sɛn.tɪ.gɹeɪd,3.0
barefoot,bare-foot,bɛɚ.fʊt,2.0
bareness,bare-ness,bɛɚ.nɪs,2.0
ascent,as-cent,ə.sɛnt,2.0
adventure,ad-ven-ture,əd.vɛn.tʃəR,3.0
civvy street,civ-vy street,sɪ.vɪ.stɹiːt,3.0
burdensome,bur-den-some,bɚ.dən.səm,3.0
ambitiously,am-bi-tious-ly,æm.bɪ.ʃəs.lɪ,4.0
Christian era,Chris-tian e-ra,"kɹɪs.tʃən.ɪɚ.ɹə,4.0
brucellosis,bru-cel-lo-sis,"bɹuː.sɪ.loʊ.sɪs,4.0
ante,an-te,æn.tɪ,2.0
canton,can-ton,kæn.tɑn,2.0
basement,base-ment,beɪs.mənt,2.0
brush up on,brush up on,"bɹʌʃ.ʌp.ɑn,3.0
ally,al-ly,ə.laɪ,2.0
above-mentioned,a-bove--men-tioned,ə."bʌv.mɛn.ʃənd,4.0
abuse,a-buse,ə.bjuːs,2.0
committee stage,com-mit-tee stage,kə.mɪ.tɪ.steɪdʒ,4.0
chandelier,chan-de-lier,"ʃæn.də.lɪɚR,3.0
cellular,cel-lu-lar,sɛl.jʊ.ləR,3.0
adversely,ad-verse-ly,æd.vɚs.lɪ,3.0
clumsiness,clum-si-ness,klʌm.zɪ.nɪs,3.0
badly-behaved,bad-ly--be-haved,"bæd.lɪ.bɪ.heɪvd,4.0
claw-hammer,claw--ham-mer,klɔɚ."hæ.məR,3.0
bedaubed,be-daubed,bɪ.dɔɚbd,2.0
amplify,am-pli-fy,æm.plɪ.faɪ,3.0
betwixt and between,be-twixt and be-tween,bɪ."twɪkst.ænd.bɪ.twiːn,5.0
agelessness,age-less-ness,eɪdʒ.lɪs.nɪs,3.0
commensurably,com-men-su-ra-bly,kə.mɛn.ʃə.ɹə.blɪ,5.0
Anglophile,An-glo-phile,æŋ.gloʊ.faɪl,3.0
alliance,al-li-ance,ə.laɪ.əns,3.0
button-down,but-ton--down,bʌ.tən.daʊn,3.0
asphodel,as-pho-del,æs.fə.dɛl,3.0
checkmate,check-mate,tʃɛk.meɪt,2.0
abysmally,a-bys-mal-ly,ə.bɪz.mə.lɪ,4.0
codger,cod-ger,kɑ.dʒəR,2.0
brand as,brand as,bɹænd.æz,2.0
bijou,bi-jou,biː.ʒuː,2.0
address,ad-dress,ə.dɹɛs,2.0
chaconne,cha-conne,ʃə.kɑn,2.0
camellia,ca-mel-lia,kə.miː.ljə,3.0
caller,call-er,kɔɚ.ləR,2.0
bailey,bai-ley,beɪ.lɪ,2.0
acceptation,ac-cep-ta-tion,"æk.sɛp.teɪ.ʃən,4.0
bawbee,baw-bee,"bɔɚ.biː,2.0
assist,as-sist,ə.sɪst,2.0
catty,cat-ty,kæ.tɪ,2.0
chamber of commerce,cham-ber of com-merce,"tʃeɪm.bə.ɹɑv.kɑ.mɚs,5.0
arithmetic progression,a-rith-me-tic pro-gres-sion,æ.ɹɪθ."mɛ.tɪk.pɹoʊ.gɹɛ.ʃən,7.0
bow to,bow to,baʊ.tuː,2.0
aimlessly,aim-less-ly,eɪm.lɪs.lɪ,3.0
bombproof,bomb-proof,bɑm.pɹuːf,2.0
aseptically,a-sep-ti-cal-ly,eɪ.sɛp.tɪ.kə.lɪ,5.0
clodhopper,clod-hop-per,klɑd."hɑ.pəR,3.0
anthropomorphic,an-thro-po-mor-phic,"æn.θɹə.poʊ.mɔɚ.fɪk,5.0
clamber,clam-ber,klæm.bəR,2.0
au pair,au pair,"oʊ.pɛɚR,2.0
authoritatively,au-thor-i-ta-tive-ly,ɔɚ.θɑ.ɹɪ.tə.tɪv.lɪ,6.0
affix,af-fix,ə.fɪks,2.0
awash,a-wash,ə.wɑʃ,2.0
alternate,al-ter-nate,ɔɚl.tə.neɪt,3.0
canna,can-na,kæ.nə,2.0
checkrail,check-rail,tʃɛk.ɹeɪl,2.0
caesura,cae-su-ra,sɪ.zjʊɚ.ɹə,3.0
accidental,ac-ci-den-tal,"æk.sɪ.dɛn.təl,4.0
chain bridge,chain bridge,"tʃeɪn.bɹɪdʒ,2.0
beg off,beg off,"bɛg.ɑf,2.0
clapboard,clap-board,klæp.bɔɚd,2.0
coastline,coast-line,koʊst.laɪn,2.0
button,but-ton,bʌ.tən,2.0
as to,as to,æz.tuː,2.0
ambassadorship,am-bas-sa-dor-ship,æ.bæ.sə.də.ʃɪp,5.0
candour,can-dour,kæn.dəR,2.0
chessman,chess-man,tʃɛs.mæn,2.0
brightness,bright-ness,bɹaɪt.nɪs,2.0
chaplaincy,chap-lain-cy,tʃæp.lɪn.sɪ,3.0
bayonet,bay-o-net,beɪ.ə.nɪt,3.0
commencement,com-mence-ment,kə.mɛn.smənt,3.0
being,be-ing,biː.ɪŋ,2.0
auction bridge,auc-tion bridge,"ɔɚk.ʃən.bɹɪdʒ,3.0
ballpoint-pen,ball-point--pen,"bɔɚl.pɔɪnt.pɛn,3.0
caucus,cau-cus,kɔɚ.kəs,2.0
cold fish,cold fish,"koʊld.fɪʃ,2.0
ballot,bal-lot,bæ.lət,2.0
champaign,cham-paign,tʃæm.peɪn,2.0
chimpanzee,chim-pan-zee,"tʃɪm.pən.ziː,3.0
cancel,can-cel,kæn.səl,2.0
chinaware,chi-na-ware,tʃaɪ.nə.wɛɚR,3.0
blowfly,blow-fly,bloʊ.flaɪ,2.0
bust up,bust up,"bʌst.ʌp,2.0
ciderpress,ci-der-press,saɪ.də.pɹɛs,3.0
angle,an-gle,æŋ.gəl,2.0
captiousness,cap-tious-ness,kæp.ʃəs.nɪs,3.0
absolute zero,ab-so-lute ze-ro,æb.sə.luːt."zɪɚ.ɹoʊ,5.0
calla,cal-la,kæ.lə,2.0
boohoo,boo-hoo,"buː.huː,2.0
Attic,At-tic,æ.tɪk,2.0
beauteous,beau-te-ous,bjuː.tjəs,2.0
appendix,ap-pen-dix,ə.pɛn.dɪks,3.0
batting crease,bat-ting crease,bæ.tɪŋ.kɹiːs,3.0
burgh,burgh,bʌ.ɹə,2.0
centrepiece,cen-tre-piece,sɛn.tə.piːs,3.0
bearskin,bear-skin,bɛɚ.skɪn,2.0
anopheles,a-noph-e-les,ə.nɑ.fɪ.liːz,4.0
Bunsen,Bun-sen,bʌn.sən,2.0
collectively,col-lec-tive-ly,kə.lɛk.tɪv.lɪ,4.0
bird-cage,bird--cage,bɚd.keɪdʒ,2.0
aside from,a-side from,ə.saɪd.fɹɑm,3.0
augury,au-gu-ry,ɔɚ.gjʊ.ɹɪ,3.0
airman,air-man,ɛɚ.mən,2.0
collect,col-lect,kə.lɛkt,2.0
aboard,a-board,ə.bɔɚd,2.0
Belgian,Bel-gian,bɛl.dʒən,2.0
assured,as-sured,ə.ʃɔɚd,2.0
climax,cli-max,klaɪ.mæks,2.0
bring over,bring o-ver,"bɹɪŋ.oʊ.vəR,3.0
billfold,bill-fold,bɪl.foʊld,2.0
caveat emptor,ca-ve-at emp-tor,"kæ.vɪ.æt.ɛmp.tɔɚR,5.0
brussels sprout,brus-sels sprout,"bɹʌ.səl.spɹaʊts,3.0
circular saw,cir-cu-lar saw,"sɚ.kjʊ.lə.sɔɚ,4.0
bowser,bow-ser,baʊ.zəR,2.0
blandish,blan-dish,blæn.dɪʃ,2.0
brutal,bru-tal,bɹuː.təl,2.0
clear-headedness,clear--head-ed-ness,"klɪɚ.hɛ.dɪd.nɪs,4.0
borderline,bor-der-line,bɔɚ.də.laɪn,3.0
ball-dress,ball--dress,bɔɚl.dɹɛs,2.0
ad nauseam,ad nau-se-am,"æd.nɔɚ.zɪ.æm,4.0
beehive,bee-hive,biː.haɪv,2.0
cirrus,cir-rus,sɪ.ɹəs,2.0
all-out,all--out,ɔɚl.aʊt,2.0
come-uppance,come--up-pance,kʌm.ʌ.pəns,3.0
bugle,bu-gle,bjuː.gəl,2.0
bayonet,bay-o-net,beɪ.ə.nɪt,3.0
coconut matting,co-co-nut mat-ting,"koʊ.kə.nʌt.mæ.tɪŋ,5.0
bonhomie,bon-ho-mie,bɑ.nə.miː,3.0
baby-sit,ba-by--sit,beɪ.bɪ."sɪt,3.0
biosphere,bi-o-sphere,baɪ.oʊ."sfɪɚR,3.0
cascade,cas-cade,kæ.skeɪd,2.0
accentuation,ac-cen-tu-a-tion,æk."sɛn.tjʊ.eɪ.ʃən,5.0
centrist,cen-trist,sɛn.tɹɪst,2.0
Burberry,Bur-ber-ry,bɚ.bə.ɹɪ,3.0
aim at,aim at,eɪm.æt,2.0
bridesmaid,brides-maid,bɹaɪdz.meɪd,2.0
cold war,cold war,"koʊld.wɔɚR,2.0
a priori,a pri-o-ri,"eɪ.pɹaɪ.ɔɚ.ɹaɪ,4.0
backward,back-ward,bæk.wəd,2.0
bullfinch,bull-finch,bʊl.fɪntʃ,2.0
blazon,bla-zon,bleɪ.zən,2.0
adventitious,ad-ven-ti-tious,"æd.vɛn.tɪ.ʃəs,4.0
attach,at-tach,ə.tætʃ,2.0
close-cropped,close--cropped,"kloʊs.kɹɑpt,2.0
blubber,blub-ber,blʌ.bəR,2.0
blurt out,blurt out,"blɚt.aʊt,2.0
Belisha,Be-li-sha,bɪ.liː.ʃə,3.0
bedbug,bed-bug,bɛd.bʌg,2.0
breezeblock,breeze-block,bɹiːz.blɑk,2.0
allegretto,al-le-gret-to,"æ.lɪ.gɹɛ.toʊ,4.0
callipers,cal-li-pers,kæ.lɪ.pəz,3.0
come over,come o-ver,kʌm."oʊ.vəR,3.0
broadloom,broad-loom,bɹɔɚd.luːm,2.0
chemise,che-mise,ʃə.miːz,2.0
blare out,blare out,"blɛɚ.ɹaʊt,2.0
adverb,ad-verb,æd.vɚb,2.0
close-hauled,close--hauled,"kloʊs.hɔɚld,2.0
auburn,au-burn,ɔɚ.bən,2.0
automate,au-to-mate,ɔɚ.toʊ.meɪt,3.0
chauffeur,chauf-feur,ʃoʊ.fəR,2.0
bullet,bul-let,bʊ.lɪt,2.0
bejewel,be-jew-el,bɪ.dʒuː.əl,3.0
circumflex,cir-cum-flex,sɚ.kəm.flɛks,3.0
cage in,cage in,"keɪdʒ.ɪn,2.0
blood-donor,blood--do-nor,blʌd."doʊ.nəR,3.0
biplane,bi-plane,baɪ.pleɪn,2.0
cocktail lounge,cock-tail lounge,kɑk.teɪl.laʊndʒ,3.0
abrasion,a-bra-sion,ə.bɹeɪ.ʒən,3.0
athlete,ath-lete,æθ.liːt,2.0
cock-up,cock--up,kɑk.ʌp,2.0
approve,ap-prove,ə.pɹuːv,2.0
ad-lib,ad--lib,"æd.lɪb,2.0
baby-sitting,ba-by--sit-ting,beɪ.bɪ."sɪ.tɪŋ,4.0
become of,be-come of,bɪ.kʌm.ɑv,3.0
assess,as-sess,ə.sɛs,2.0
blancmange,blanc-mange,blə.mɑndʒ,2.0
ash-key,ash--key,æʃ.kiː,2.0
breadwinner,bread-win-ner,bɹɛd."wɪ.nəR,3.0
boundlessness,bound-less-ness,baʊnd.lɪs.nɪs,3.0
alert,a-lert,ə.lɚt,2.0
bonnet,bon-net,bɑ.nɪt,2.0
beauty,beau-ty,bjuː.tɪ,2.0
accretion,ac-cre-tion,æ.kɹiː.ʃən,3.0
boyish,boy-ish,bɔɪ.ɪʃ,2.0
anal,a-nal,eɪ.nəl,2.0
addendum,ad-den-dum,ə.dɛn.dəm,3.0
afraid,a-fraid,ə.fɹeɪd,2.0
browbeat,brow-beat,bɹaʊ.biːt,2.0
acquisition,ac-qui-si-tion,"æ.kwɪ.zɪ.ʃən,4.0
coat-tails,coat--tails,koʊt.teɪlz,2.0
cervical,cer-vi-cal,sə.vaɪ.kəl,3.0
activation,ac-ti-va-tion,"æk.tɪ.veɪ.ʃən,4.0
bugger about,bug-ger a-bout,"bʌ.gə.ɹə.baʊt,4.0
cold saw,cold saw,koʊld.sɔɚ,2.0
anthracite,an-thra-cite,æn.θɹə.saɪt,3.0
coffer,cof-fer,kɑ.fəR,2.0
bellow,bel-low,bɛ.loʊ,2.0
coequal,co-e-qual,koʊ.iː.kwəl,3.0
beachwear,beach-wear,biːtʃ.wɛɚR,2.0
birthrate,birth-rate,bɚθ.ɹeɪt,2.0
adhere,ad-here,əd.hɪɚR,2.0
attack,at-tack,ə.tæk,2.0
build into,build in-to,bɪld."ɪn.tuː,3.0
belabour,be-la-bour,bɪ.leɪ.bəR,3.0
banshee,ban-shee,bæn.ʃiː,2.0
circus,cir-cus,sɚ.kəs,2.0
adjective,ad-jec-tive,æ.dʒɪk.tɪv,3.0
annul,an-nul,ə.nʌl,2.0
bloodlust,blood-lust,blʌd.lʌst,2.0
bombardier,bom-bar-dier,"bɑm.bə.dɪɚR,3.0
bluebag,blue-bag,bluː.bæg,2.0
baby-faced,ba-by--faced,beɪ.bɪ."feɪst,3.0
cheetah,chee-tah,tʃiː.tə,2.0
besides,be-sides,bɪ.saɪdz,2.0
amorphousness,a-mor-phous-ness,ə.mɔɚ.fəs.nɪs,4.0
borderland,bor-der-land,bɔɚ.də.lænd,3.0
breech-block,breech--block,bɹiːtʃ.blɑk,2.0
accomplice,ac-com-plice,ə.kʌm.plɪs,3.0
blissfulness,bliss-ful-ness,blɪs.fʊl.nɪs,3.0
allegretto,al-le-gret-to,"æ.lɪ.gɹɛ.toʊ,4.0
but then,but then,"bʌt.ðɛn,2.0
boatman,boat-man,boʊt.mən,2.0
backward country,back-ward coun-try,"bæ.kwəd.kʌn.tɹɪ,4.0
coital,co-i-tal,koʊ.ɪ.təl,3.0
clairvoyant,clair-voy-ant,klɛɚ.vɔɪ.ənt,3.0
block out,block out,"blɑk.aʊt,2.0
bacchanalian,bac-cha-na-lian,"bæ.kə.neɪ.ljən,4.0
collective noun,col-lec-tive noun,kə."lɛk.tɪv.naʊn,4.0
build on,build on,bɪld.ɑn,2.0
commons,com-mons,kɑ.mənz,2.0
close out,close out,"kloʊz.aʊt,2.0
Caerphilly,Caer-phil-ly,kɛɚ.fɪ.lɪ,3.0
backtrack,back-track,bæk.tɹæk,2.0
balls-up,balls--up,bɔɚlz.ʌp,2.0
absurd,ab-surd,əb.sɚd,2.0
Black Muslim,Black Mus-lim,"blæk.mʊ.slɪm,3.0
cogent,co-gent,koʊ.dʒənt,2.0
barrow-man,bar-row--man,bæ.ɹoʊ.mæn,3.0
awake,a-wake,ə.weɪk,2.0
bejewelled,be-jew-elled,bɪ.dʒuː.əld,3.0
accused,ac-cused,ə.kjuːzd,2.0
burn up,burn up,"bɚn.ʌp,2.0
bulldoze,bull-doze,bʊl.doʊz,2.0
bilingual,bi-lin-gual,baɪ.lɪŋ.gwəl,3.0
blind alley,blind al-ley,"blaɪnd.æ.lɪ,3.0
central,cen-tral,sɛn.tɹəl,2.0
approbate,ap-pro-bate,æ.pɹoʊ.beɪt,3.0
bone china,bone chi-na,"boʊn.tʃaɪ.nə,3.0
bobbin,bob-bin,bɑ.bɪn,2.0
beldame,bel-dame,bɛl.dəm,2.0
circle,cir-cle,sɚ.kəl,2.0
angel,an-gel,eɪn.dʒəl,2.0
aubergine,au-ber-gine,oʊ.bə.ʒiːn,3.0
cheapskate,cheap-skate,tʃiːp.skeɪt,2.0
bungler,bun-gler,bʌŋ.gləR,2.0
cannot,can-not,kæ.nɑt,2.0
annunciate,an-nun-ci-ate,ə.nʌn.sɪ.eɪt,4.0
Broad Church,Broad Church,"bɹɔɚd.tʃɚtʃ,2.0
accessible,ac-ces-si-ble,ək.sɛ.sə.bəl,4.0
ball-up,ball--up,bɔɚl.ʌp,2.0
athwart,a-thwart,ə.θwɔɚt,2.0
