# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
acceptation;;ac-cep-ta-tion;;"{k-sEp-t1-SH;;4
accessibility;;ac-ces-si-bil-i-ty;;@k-"sE-s@-bI-l@-tI;;6
accessible;;ac-ces-si-ble;;@k-sE-s@-bP;;4
accident;;ac-ci-dent;;{k-sI-d@nt;;3
accidental;;ac-ci-den-tal;;"{k-sI-dEn-tP;;4
acclaim;;ac-claim;;@-kl1m;;2
acclamation;;ac-cla-ma-tion;;"{-kl@-m1-SH;;4
acclimate;;ac-cli-mate;;{-klI-m1t;;3
acclimation;;ac-cli-ma-tion;;"{k-l2-m1-SH;;4
acclimatize;;ac-cli-ma-tize;;@-kl2-m@-t2z;;4
accolade;;ac-co-lade;;{-k5-l1d;;3
accommodation;;ac-com-mo-da-tion;;@-"kQ-m@-d1-SH;;5
accommodations;;ac-com-mo-da-tions;;@-"kQ-m@-d1-SHz;;5
accompany;;ac-com-pa-ny;;@-kVm-p@-nI;;4
accomplice;;ac-com-plice;;@-kVm-plIs;;3
accomplish;;ac-com-plish;;@-kVm-plIS;;3
accordance;;ac-cord-ance;;@-k$-d@ns;;3
accordingly;;ac-cord-ing-ly;;@-k$-dIN-lI;;4
according to;;ac-cord-ing to;;@-k$-dIN-tu;;4
accordion;;ac-cor-di-on;;@-k$-dj@n;;3
accouchement;;ac-couche-ment;;@-kuS-mqN;;3
account;;ac-count;;@-k6nt;;2
accountable;;ac-count-a-ble;;@-k6n-t@-bP;;4
accountably;;ac-count-a-bly;;@-k6n-t@-blI;;4
accountant;;ac-count-ant;;@-k6n-t@nt;;3
accoutrements;;ac-cou-tre-ments;;@-ku-t@-m@nts;;4
accredit;;ac-cred-it;;@-krE-dIt;;3
accredited;;ac-cred-it-ed;;@-krE-dI-tId;;4
accrete;;ac-crete;;@-krit;;2
accretion;;ac-cre-tion;;{-kri-SH;;3
accrue;;ac-crue;;@-kru;;2
accumulate;;ac-cu-mu-late;;@-kju-mjU-l1t;;4
accumulatively;;ac-cu-mu-la-tive-ly;;@-kju-mjU-l@-tIv-lI;;6
accurately;;ac-cu-rate-ly;;{-kjU-r@t-lI;;4
accursed;;ac-curs-ed;;@-k3-sId;;3
accursedly;;ac-curs-ed-ly;;@-k3-sId-lI;;4
accusative;;ac-cu-sa-tive;;@-kju-z@-tIv;;4
accuse;;ac-cuse;;@-kjuz;;2
accused;;ac-cused;;@-kjuzd;;2
accusing;;ac-cus-ing;;@-kju-zIN;;3
accustom;;ac-cus-tom;;@-kV-st@m;;3
accustomed;;ac-cus-tomed;;@-kV-st@md;;3
acerbity;;a-cer-bi-ty;;@-s3-b@-tI;;4
acetate;;ac-e-tate;;{-sI-t1t;;3
acetylene;;a-cet-y-lene;;@-sE-tI-lin;;4
ache;;ache;;1k;;1
ache;;ache;;1k;;1
achievement;;a-chieve-ment;;@-Jiv-m@nt;;3
Achilles tendon;;A-chil-les ten-don;;@-"kI-liz-tEn-d@n;;5
acid;;ac-id;;{-sId;;2
acid;;ac-id;;{-sId;;2
acidic;;a-cid-ic;;@-sI-dIk;;3
acid test;;ac-id test;;"{-sId-tEst;;3
acidulate;;a-cid-u-late;;@-sI-djU-l1t;;4
acidulated;;a-cid-u-lat-ed;;@-sI-djU-l1-tId;;5
acknowledge;;ac-knowl-edge;;@k-nQ-lI_;;3
acne;;ac-ne;;{k-nI;;2
aconite;;ac-o-nite;;{-k@-n2t;;3
acoustic;;a-cous-tic;;@-ku-stIk;;3
acoustic;;a-cous-tic;;@-ku-stIk;;3
acoustics;;a-cous-tics;;@-ku-stIks;;3
acquaintanceship;;ac-quaint-ance-ship;;@-kw1n-t@n-SIp;;4
acquiescence;;ac-qui-es-cence;;"{-kwI-E-sHs;;4
acquiescent;;ac-qui-es-cent;;"{-kwI-E-sHt;;4
acquiescently;;ac-qui-es-cent-ly;;"{-kwI-E-sHt-lI;;5
acquire;;ac-quire;;@-kw2-@R;;3
acquired taste;;ac-quired taste;;@-"kw2-@d-t1st;;4
acquisition;;ac-qui-si-tion;;"{-kwI-zI-SH;;4
acquit;;ac-quit;;@-kwIt;;2
acquittal;;ac-quit-tal;;@-kwI-tP;;3
acre;;a-cre;;1-k@R;;2
acreage;;a-cre-age;;1-k@-rI_;;3
acrimoniously;;ac-ri-mo-ni-ous-ly;;"{-krI-m5-nj@s-lI;;5
acrobat;;ac-ro-bat;;{-kr@-b{t;;3
acrobatic;;ac-ro-bat-ic;;"{-kr5-b{-tIk;;4
acronym;;ac-ro-nym;;{-kr5-nIm;;3
across from;;a-cross from;;@-krQs-frQm;;3
acrostic;;a-cros-tic;;@-krQ-stIk;;3
acrylic;;a-cryl-ic;;{-krI-lIk;;3
act;;act;;{kt;;1
act;;act;;{kt;;1
actinic;;ac-tin-ic;;{k-ti-nIk;;3
activation;;ac-ti-va-tion;;"{k-tI-v1-SH;;4
active;;ac-tive;;{k-tIv;;2
active;;ac-tive;;{k-tIv;;2
actively;;ac-tive-ly;;{k-tIv-lI;;3
active voice;;ac-tive voice;;"{k-tIv-v4s;;3
activist;;ac-tiv-ist;;{k-tI-vIst;;3
activity;;ac-tiv-i-ty;;{k-tI-v@-tI;;4
actor;;ac-tor;;{k-t@R;;2
actual;;ac-tu-al;;{k-J9l;;2
actually;;ac-tu-al-ly;;{k-J9-lI;;3
actuarial;;ac-tu-ar-i-al;;"{k-tjU-8-r7l;;4
actuary;;ac-tu-ar-y;;{k-tj9-rI;;3
actuate;;ac-tu-ate;;{k-tjU-1t;;3
act up;;act up;;"{kt-Vp;;2
acumen;;a-cu-men;;{-kjU-m@n;;3
acupuncture;;ac-u-punc-ture;;{-kjU-pVNk-J@R;;4
acuteness;;a-cute-ness;;@-kjut-nIs;;3
AD;;AD;;"1-di;;2
adagio;;a-da-gio;;@-d#-_I-5;;4
adagio;;a-da-gio;;@-d#-_I-5;;4
adamant;;ad-a-mant;;{-d@-m@nt;;3
adamant;;ad-a-mant;;{-d@-m@nt;;3
adamantine;;ad-a-man-tine;;"{-d@-m{n-t2n;;4
adamantly;;ad-a-mant-ly;;{-d@-m@nt-lI;;4
Adam's apple;;Ad-am's ap-ple;;"{-d@mz-{-pP;;4
adapt;;a-dapt;;@-d{pt;;2
adaptability;;a-dapt-a-bil-i-ty;;@-"d{p-t@-bI-l@-tI;;6
adaptable;;a-dapt-a-ble;;@-d{p-t@-bP;;4
adapter;;a-dapt-er;;@-d{p-t@R;;3
addendum;;ad-den-dum;;@-dEn-d@m;;3
adder;;ad-der;;{-d@R;;2
addiction;;ad-dic-tion;;@-dIk-SH;;3
adding-machine;;add-ing--ma-chine;;{-dIN-m@-"Sin;;4
addition;;ad-di-tion;;@-dI-SH;;3
additional;;ad-di-tion-al;;@-dI-S@-nP;;4
addle;;ad-dle;;{-dP;;2
addle-brained;;ad-dle--brained;;{-dP-"br1nd;;3
addle-head;;ad-dle--head;;{-dP-hEd;;3
address;;ad-dress;;@-drEs;;2
address;;ad-dress;;@-drEs;;2
addressee;;ad-dress-ee;;"{-drE-si;;3
Addressograph;;Ad-dres-so-graph;;@-drE-s5-gr#f;;4
adduce;;ad-duce;;@-djus;;2
adenoidal;;ad-e-noi-dal;;"{-dI-n4-dP;;4
adept;;ad-ept;;{-dEpt;;2
adeptly;;a-dept-ly;;{-dEpt;;2
adequate;;ad-e-quate;;{-dI-kw@t;;3
adhere;;ad-here;;@d-h7R;;2
adherence;;ad-her-ence;;@d-h7-r@ns;;3
adherent;;ad-her-ent;;@d-h7-r@nt;;3
adherent;;ad-her-ent;;@d-h7-r@nt;;3
adhesive;;ad-he-sive;;@d-hi-sIv;;3
ad hoc;;ad hoc;;"{d-hQk;;2
ad hoc;;ad hoc;;"{d-hQk;;2
adieu;;a-dieu;;@-dju;;2
ad infinitum;;ad in-fi-ni-tum;;"{d-In-fI-n2-t@m;;5
adipose;;ad-i-pose;;{-dI-p5s;;3
adjacent;;ad-ja-cent;;@-_1-s@nt;;3
adjective;;ad-jec-tive;;{-_Ik-tIv;;3
adjourn;;ad-journ;;@-_3n;;2
adjudge;;ad-judge;;@-_V_;;2
adjudication;;ad-ju-di-ca-tion;;@-"_u-dI-k1-SH;;5
adjuration;;ad-ju-ra-tion;;"{-_9-r1-SH;;4
adjust;;ad-just;;@-_Vst;;2
adjustable;;ad-just-a-ble;;@-_V-st@-bP;;4
adjuster;;ad-just-er;;@-_V-st@R;;3
ad lib;;ad lib;;"{d-lIb;;2
ad-lib;;ad--lib;;"{d-lIb;;2
ad-lib;;ad--lib;;"{d-lIb;;2
adman;;ad-man;;{d-m{n;;2
administer to;;ad-min-is-ter to;;@d-mI-nI-st@-tu;;5
admirable;;ad-mi-ra-ble;;{d-m@-r@-bP;;4
admire;;ad-mire;;@d-m2-@R;;3
admiring;;ad-mir-ing;;@d-m2-@-rIN;;4
admissibility;;ad-mis-si-bil-i-ty;;@d-"mI-s@-bI-l@-tI;;6
admissible;;ad-mis-si-ble;;@d-mI-s@-bP;;4
admission;;ad-mis-sion;;@d-mI-SH;;3
admit of;;ad-mit of;;@d-mIt-Qv;;3
admitted;;ad-mit-ted;;@d-mI-tId;;3
admonish;;ad-mon-ish;;@d-mQ-nIS;;3
admonishingly;;ad-mon-ish-ing-ly;;@d-mQ-nI-SIN-lI;;5
admonition;;ad-mo-ni-tion;;"{d-m5-nI-SH;;4
admonitory;;ad-mon-i-to-ry;;@d-mQ-nI-t@-rI;;5
ad nauseam;;ad nau-se-am;;"{d-n$-zI-{m;;4
ado;;a-do;;@-du;;2
adoration;;ad-o-ra-tion;;"{-d@-r1-SH;;4
adorer;;a-dor-er;;@-d$-r@R;;3
adorn;;a-dorn;;@-d$n;;2
adornment;;a-dorn-ment;;@-d$n-m@nt;;3
adrenalin;;ad-ren-a-lin;;@-drE-n@-lIn;;4
adroit;;a-droit;;@-dr4t;;2
adroitly;;a-droit-ly;;@-dr4t-lI;;3
adulator;;ad-u-la-tor;;{-djU-l1-t@R;;4
adult;;a-dult;;{-dVlt;;2
adult;;a-dult;;{-dVlt;;2
adult education;;a-dult ed-u-ca-tion;;"{-dVlt-E-_U-k1-SH;;6
adulteration;;a-dul-ter-a-tion;;@-"dVl-t@-r1-SH;;5
adulterer;;a-dul-ter-er;;@-dVl-t@-r@R;;4
adulteress;;a-dul-ter-ess;;@-dVl-t@-rIs;;4
adultery;;a-dul-ter-y;;@-dVl-t@-rI;;4
adumbrate;;ad-um-brate;;{-dVm-br1t;;3
adv;;adv;;{d-v3b;;2
ad valorem;;ad va-lo-rem;;"{d-v@-l$-rEm;;4
advance;;ad-vance;;@d-v#ns;;2
advanced;;ad-vanced;;@d-v#nst;;2
advanced level;;ad-vanced lev-el;;@d-v#nst-"lE-vP;;4
advancement;;ad-vance-ment;;@d-v#ns-m@nt;;3
advantage;;ad-van-tage;;@d-v#n-tI_;;3
advantage;;ad-van-tage;;@d-v#n-tI_;;3
advent;;ad-vent;;{d-v@nt;;2
adventitious;;ad-ven-ti-tious;;"{d-vEn-tI-S@s;;4
adventitiously;;ad-ven-ti-tious-ly;;"{d-vEn-tI-S@s-lI;;5
adventure;;ad-ven-ture;;@d-vEn-J@R;;3
adventurer;;ad-ven-tur-er;;@d-vEn-J@-r@R;;4
adventuresome;;ad-ven-ture-some;;@d-vEn-J@-s@m;;4
adventurous;;ad-ven-tur-ous;;@d-vEn-J@-r@s;;4
adventurously;;ad-ven-tur-ous-ly;;@d-vEn-J@-r@s-lI;;5
adverb;;ad-verb;;{d-v3b;;2
adverbial;;ad-ver-bi-al;;@d-v3-bj@l;;3
adverbially;;ad-ver-bi-al-ly;;@d-v3-bj@-lI;;4
adversary;;ad-ver-sar-y;;{d-v@-s@-rI;;4
adverse;;ad-verse;;{d-v3s;;2
adversely;;ad-verse-ly;;{d-v3s-lI;;3
advert;;ad-vert;;{d-v3t;;2
advice;;ad-vice;;@d-v2s;;2
advisability;;ad-vis-a-bil-i-ty;;@d-"v2-z@-bI-l@-tI;;6
advisable;;ad-vis-a-ble;;@d-v2-z@-bP;;4
adviser;;ad-vis-er;;@d-v2-z@R;;3
advisory;;ad-vi-so-ry;;@d-v2-z@-rI;;4
advocate;;ad-vo-cate;;{d-v@-k@t;;3
advowson;;ad-vow-son;;@d-v6-zH;;3
aerially;;aer-i-al-ly;;8-r7-lI;;3
aerobatics;;aer-o-bat-ics;;"8-r5-b{-tIks;;4
aerodynamic;;aer-o-dy-nam-ic;;"8-r5-d2-n{-mIk;;5
aerodynamically;;aer-o-dy-nam-i-cal-ly;;"8-r5-d2-n{-mI-klI;;6
aeronaut;;aer-o-naut;;8-r@-n$t;;3
aeronautic;;aer-o-naut-ic;;"8-r@-n$-tIk;;4
aeronautics;;aer-o-naut-ics;;"8-r@-n$-tIks;;4
aertex;;aer-tex;;8-tEks;;2
aesthete;;aes-thete;;is-Tit;;2
aesthetically;;aes-thet-i-cal-ly;;is-TE-tI-k@-lI;;5
aesthetics;;aes-thet-ics;;is-TE-tIks;;3
aetiologically;;ae-ti-o-log-i-cal-ly;;"i-t7-lQ-_I-k@-lI;;6
aetiology;;ae-ti-ol-o-gy;;"i-tI-Q-l@-_I;;5
afar;;a-far;;@-f#R;;2
affected;;af-fect-ed;;@-fEk-tId;;3
affectedness;;af-fect-ed-ness;;@-fEk-tId-nIs;;4
affecting;;af-fect-ing;;@-fEk-tIN;;3
affectingly;;af-fect-ing-ly;;@-fEk-tIN-lI;;4
affectionate;;af-fec-tion-ate;;@-fEk-Sn@t;;3
affinity;;af-fin-i-ty;;@-fI-n@-tI;;4
affirm;;af-firm;;@-f3m;;2
affirmation;;af-fir-ma-tion;;"{-f@-m1-SH;;4
affirmative;;af-firm-a-tive;;@-f3-m@-tIv;;4
affix;;af-fix;;@-fIks;;2
afflict;;af-flict;;@-flIkt;;2
affliction;;af-flic-tion;;@-flIk-SH;;3
afford;;af-ford;;@-f$d;;2
afforestation;;af-for-est-a-tion;;{-"fQ-rI-st1-SH;;5
affray;;af-fray;;@-fr1;;2
affront;;af-front;;@-frVnt;;2
Afghani;;Af-ghan-i;;{f-g#-nI;;3
Afghanistan;;Af-ghan-i-stan;;{f-g{-nI-st{n;;4
Afghanistani;;Af-ghan-i-stan-i;;{f-g{-nI-"st{-nI;;5
aficionado;;a-fi-ci-o-na-do;;@-"fI-sj@-n#-d5;;5
afield;;a-field;;@-fild;;2
aflame;;a-flame;;@-fl1m;;2
afloat;;a-float;;@-fl5t;;2
afore;;a-fore;;@-f$R;;2
aforementioned;;a-fore-men-tioned;;@-"f$-mEn-S@nd;;4
a fortiori;;a for-ti-o-ri;;"1-"f$-tI-$-r2;;5
afoul;;a-foul;;@-f6l;;2
afraid;;a-fraid;;@-fr1d;;2
afresh;;a-fresh;;@-frES;;2
Africa;;Af-ri-ca;;{-frI-k@;;3
Afrikaans;;Af-ri-kaans;;"{-frI-k#ns;;3
Afrikaner;;Af-ri-ka-ner;;"{-frI-k#-n@R;;4
Afro;;Af-ro;;{-fr5;;2
Afro-wig;;Af-ro--wig;;"{-fr5-wIg;;3
after;;af-ter;;#f-t@R;;2
after all;;af-ter all;;"#f-t@-r$l;;3
aftercare;;af-ter-care;;#f-t@-k8R;;3
afterdamp;;af-ter-damp;;#f-t@-d{mp;;3
aftereffect;;af-ter-ef-fect;;#f-t@-rI-"fEkt;;4
afterlife;;af-ter-life;;#f-t@-l2f;;3
aftermath;;af-ter-math;;#f-t@-m{T;;3
afternoon;;af-ter-noon;;"#f-t@-nun;;3
afternoon;;af-ter-noon;;#f-t@-nun;;3
afternoons;;af-ter-noons;;"#f-t@-nunz;;3
aftershave;;af-ter-shave;;#f-t@-S1v;;3
aftertaste;;af-ter-taste;;#f-t@-t1st;;3
afterward;;af-ter-ward;;#f-t@-w@d;;3
agape;;a-gape;;@-g1p;;2
agate;;ag-ate;;{-g@t;;2
agave;;a-ga-ve;;@-g1-vI;;3
age;;age;;1_;;1
age;;age;;1_;;1
aged;;aged;;1-_Id;;2
aged;;a-ged;;1_d;;1
age-group;;age--group;;1_-"grup;;2
ageing;;age-ing;;1-_IN;;2
agelessness;;age-less-ness;;1_-lIs-nIs;;3
agenda;;a-gen-da;;@-_En-d@;;3
age of consent;;age of con-sent;;"1_-Qv-k@n-sEnt;;4
age-old;;age--old;;"1_-5ld;;2
agglomerate;;ag-glom-er-ate;;@-glQ-m@-r@t;;4
agglutinate;;ag-glu-ti-nate;;@-glu-tI-n1t;;4
agglutination;;ag-glu-ti-na-tion;;@-"glu-tI-n1-SH;;5
aggrandize;;ag-gran-dize;;@-gr{n-d2z;;3
aggravation;;ag-gra-va-tion;;"{-gr@-v1-SH;;4
aggregate;;ag-gre-gate;;{-grI-g@t;;3
aggregate;;ag-gre-gate;;{-grI-g@t;;3
aggregation;;ag-gre-ga-tion;;"{-grI-g1-SH;;4
aggress;;ag-gress;;@-grEs;;2
aggression;;ag-gres-sion;;@-grE-SH;;3
aggressive;;ag-gres-sive;;@-grE-sIv;;3
aggressiveness;;ag-gres-sive-ness;;@-grE-sIv-nIs;;4
aggressor;;ag-gres-sor;;@-grE-s@R;;3
aggrieve;;ag-grieve;;@-griv;;2
aggrieved;;ag-grieved;;@-grivd;;2
aggro;;ag-gro;;{-gr5;;2
aghast;;a-ghast;;@-g#st;;2
agile;;ag-ile;;{-_2l;;2
agilely;;ag-ile-ly;;{-_2l-lI;;3
agility;;a-gil-i-ty;;@-_I-l@-tI;;4
agin;;a-gin;;@-gIn;;2
agitate;;ag-i-tate;;{-_I-t1t;;3
agitated;;ag-i-tat-ed;;{-_I-t1-tId;;4
agitating;;ag-i-tat-ing;;{-_I-t1-tIN;;4
agitator;;ag-i-ta-tor;;{-_I-t1-t@R;;4
aglow;;a-glow;;@-gl5;;2
agnail;;ag-nail;;{g-n1l;;2
Agnus Dei;;Ag-nus De-i;;"{g-n@s-d1-i;;4
ago;;a-go;;@-g5;;2
agonized;;ag-o-nized;;{-g@-n2zd;;3
agonizingly;;ag-o-niz-ing-ly;;{-g@-n2-zIN-lI;;5
agony;;ag-o-ny;;{-g@-nI;;3
agrarian;;a-grar-i-an;;@-gr8-r7n;;3
agricultural;;ag-ri-cul-tur-al;;"{-grI-kVl-J@-r@l;;5
agriculturalist;;ag-ri-cul-tur-al-ist;;"{-grI-kVl-J@-r@-lIst;;6
agriculture;;ag-ri-cul-ture;;{-grI-kVl-J@R;;4
agriculturist;;ag-ri-cul-tur-ist;;"{-grI-kVl-J@-rIst;;5
agronomist;;a-gron-o-mist;;@-grQ-n@-mIst;;4
aground;;a-ground;;@-gr6nd;;2
aground;;a-ground;;@-gr6nd;;2
ague;;a-gue;;1-gju;;2
aha;;a-ha;;#-h#;;2
ahem;;a-hem;;hF;;1
ahoy;;a-hoy;;@-h4;;2
aid;;aid;;1d;;1
aide;;aide;;1d;;1
aide-m#emoire;;aide--me-moire;;"1d-mEm-w#R;;3
ailment;;ail-ment;;1l-m@nt;;2
aim;;aim;;1m;;1
aim;;aim;;1m;;1
aim at;;aim at;;1m-{t;;2
aimless;;aim-less;;1m-lIs;;2
aimlessly;;aim-less-ly;;1m-lIs-lI;;3
aimlessness;;aim-less-ness;;1m-lIs-nIs;;3
ain't;;ain't;;1nt;;1
ain't;;ain't;;1nt;;1
air;;air;;8R;;1
airbase;;air-base;;8-b1s;;2
airbed;;air-bed;;8-bEd;;2
airborne;;air-borne;;8-b$n;;2
airbus;;air-bus;;8-bVs;;2
air chief marshal;;air chief mar-shal;;"8-Jif-m#-SP;;4
air commodore;;air com-mo-dore;;"8-kQ-m@-d$R;;4
air-conditioned;;air--con-di-tioned;;8-k@n-"dI-SHd;;4
air-cooled;;air--cooled;;8-"kuld;;2
air-cooling;;air--cool-ing;;8-"ku-lIN;;3
aircraft;;air-craft;;8-kr#ft;;2
aircraft carrier;;air-craft car-ri-er;;8-kr#ft-"k{-r7R;;4
aircraftman;;air-craft-man;;8-kr#ft-m@n;;3
aircraftsman;;air-crafts-man;;8-kr#fts-m@n;;3
airdrome;;air-drome;;8-dr5m;;2
airfield;;air-field;;8-fild;;2
airframe;;air-frame;;8-fr1m;;2
airgun;;air-gun;;8-gVn;;2
airhole;;air-hole;;8-h5l;;2
airlift;;air-lift;;8-lIft;;2
airlock;;air-lock;;8-lQk;;2
airmail;;air-mail;;8-m1l;;2
airman;;air-man;;8-m@n;;2
air mattress;;air mat-tress;;8-"m{-trIs;;3
air-minded;;air--mind-ed;;8-"m2n-dId;;3
airpocket;;air-pock-et;;8-"pQ-kIt;;3
airport;;air-port;;8-p$t;;2
air-raid;;air--raid;;8-r1d;;2
airsick;;air-sick;;8-sIk;;2
airsickness;;air-sick-ness;;8-"sIk-nIs;;3
airspace;;air-space;;8-sp1s;;2
airspeed;;air-speed;;8-spid;;2
air terminal;;air ter-mi-nal;;8-"t3-mI-nP;;4
air-to-ground;;air--to--ground;;"8-tu-gr6nd;;3
airworthiness;;air-wor-thi-ness;;8-"w3-DI-nIs;;4
airworthy;;air-wor-thy;;8-"w3-DI;;3
airy;;air-y;;8-rI;;2
aitch-bone;;aitch--bone;;1J-b5n;;2
akimbo;;a-kim-bo;;@-kIm-b5;;3
akin;;a-kin;;@-kIn;;2
Al;;Al;;{l;;1
alabaster;;al-a-bas-ter;;"{-l@-b#-st@R;;4
alabaster;;al-a-bas-ter;;"{-l@-b#-st@R;;4
`a la carte;;a la carte;;"#-l#-k#t;;3
`a la carte;;a la carte;;"#-l#-k#t;;3
alack;;a-lack;;@-l{k;;2
alarm;;a-larm;;@-l#m;;2
alb;;alb;;{lb;;1
albeit;;al-be-it;;$l-bi-It;;3
albino;;al-bi-no;;{l-bi-n5;;3
alchemist;;al-che-mist;;{l-k@-mIst;;3
alchemy;;al-che-my;;{l-k@-mI;;3
